# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
360.05000000,BACKGROUND5,takeoff,0
432.05000000,BACKGROUND6,takeoff,0
433.35000000,BACKGROUND2,landing,2324.18697335
433.80000000,BACKGROUND3,landing,1568.17143467
435.00000000,BACKGROUND1,landing,4327.65718779
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND7,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
517.50000000,BACKGROUND5,landing,1672.58331866
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
624.60000000,BACKGROUND4,landing,4998.69961100
648.05000000,BACKGROUND8,takeoff,0
671.25000000,BACKGROUND7,landing,2130.85095700
687.30000000,BACKGROUND6,landing,3743.19648077
691.35000000,SURVEILLANCE_HELICOPTER,landing,8884.55679107
720.05000000,BACKGROUND9,takeoff,0
792.05000000,BACKGROUND10,takeoff,0
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
936.05000000,BACKGROUND12,takeoff,0
939.00000000,BACKGROUND8,landing,2249.89612916
946.55000000,BACKGROUND10,landing,2225.22453675
1008.05000000,BACKGROUND13,takeoff,0
1011.90000000,BACKGROUND11,landing,2349.68329121
1024.70000000,SURVEILLANCEOP3,landing,8147.94603720
1080.05000000,BACKGROUND14,takeoff,0
1151.05000000,BACKGROUND15,takeoff,0
1171.45000000,BACKGROUND13,landing,1980.83790599
1179.30000000,BACKGROUND9,landing,6618.14008577
1196.65000000,SURVEILLANCEOP5,landing,6935.21343608
1223.05000000,BACKGROUND16,takeoff,0
1295.05000000,BACKGROUND17,takeoff,0
1311.90000000,BACKGROUND12,landing,5235.57101431
1367.05000000,BACKGROUND18,takeoff,0
1399.90000000,BACKGROUND15,landing,4314.98980376
1406.20000000,BACKGROUND14,landing,4665.30291954
1439.05000000,BACKGROUND19,takeoff,0
1511.05000000,BACKGROUND20,takeoff,0
1583.05000000,BACKGROUND21,takeoff,0
1590.45000000,BACKGROUND16,landing,5629.58793647
1649.05000000,BACKGROUND18,landing,3073.86522866
1655.05000000,BACKGROUND22,takeoff,0
1727.05000000,BACKGROUND23,takeoff,0
1769.75000000,BACKGROUND21,landing,2742.56033501
1790.40000000,BACKGROUND17,landing,5122.93118211
1799.05000000,BACKGROUND24,takeoff,0
