# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
144.05000000,BACKGROUND1,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND2,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND3,takeoff,0
360.05000000,BACKGROUND4,takeoff,0
432.05000000,BACKGROUND5,takeoff,0
476.45000000,BACKGROUND1,landing,5083.02925631
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND6,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10278.45993398
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
536.80000000,BACKGROUND3,landing,3587.09544223
538.05000000,BACKGROUND2,landing,5290.44847895
576.05000000,BACKGROUND7,takeoff,0
632.95000000,BACKGROUND5,landing,2833.23893638
649.70000000,BACKGROUND4,landing,4459.47368606
691.35000000,SURVEILLANCE_HELICOPTER,landing,8884.55679107
720.05000000,BACKGROUND8,takeoff,0
727.95000000,BACKGROUND6,landing,2306.17698575
792.05000000,BACKGROUND9,takeoff,0
825.50000000,BACKGROUND7,landing,3381.05230630
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND10,takeoff,0
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
936.05000000,BACKGROUND11,takeoff,0
1008.05000000,BACKGROUND12,takeoff,0
1024.70000000,SURVEILLANCEOP3,landing,8147.94603720
1066.50000000,BACKGROUND9,landing,3142.56078380
1080.05000000,BACKGROUND13,takeoff,0
1087.45000000,BACKGROUND10,landing,2910.20547651
1151.05000000,BACKGROUND14,takeoff,0
1196.65000000,SURVEILLANCEOP5,landing,6935.21343608
1223.05000000,BACKGROUND15,takeoff,0
1237.60000000,BACKGROUND12,landing,2220.48150164
1239.25000000,BACKGROUND8,landing,5162.91447657
1295.05000000,BACKGROUND16,takeoff,0
1365.90000000,BACKGROUND11,landing,2895.48074629
1367.05000000,BACKGROUND17,takeoff,0
1388.95000000,BACKGROUND13,landing,4505.19675595
1434.75000000,BACKGROUND14,landing,1933.93049919
1439.05000000,BACKGROUND18,takeoff,0
1511.05000000,BACKGROUND19,takeoff,0
1583.05000000,BACKGROUND20,takeoff,0
1590.70000000,BACKGROUND18,landing,2340.17296893
1637.25000000,BACKGROUND16,landing,4160.43150968
1655.05000000,BACKGROUND21,takeoff,0
1708.70000000,BACKGROUND17,landing,4285.95403792
1727.05000000,BACKGROUND22,takeoff,0
1732.40000000,BACKGROUND20,landing,1892.38891118
1777.45000000,BACKGROUND19,landing,4189.15309291
1799.05000000,BACKGROUND23,takeoff,0
