# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
219.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,start
228.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
229.00000000,BACKGROUND2,SURVEILLANCE_LUFTHANSA,start
230.00000000,BACKGROUND1,SURVEILLANCE_LUFTHANSA,end
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
245.00000000,BACKGROUND2,SURVEILLANCE_LUFTHANSA,end
570.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
602.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
