# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
72.05000000,BACKGROUND1,takeoff,0
144.05000000,BACKGROUND2,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
216.05000000,BACKGROUND3,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
288.05000000,BACKGROUND4,takeoff,0
360.05000000,BACKGROUND5,takeoff,0
432.05000000,BACKGROUND6,takeoff,0
451.40000000,BACKGROUND2,landing,4506.05439261
490.85000000,BACKGROUND5,landing,1361.18643720
492.05000000,SURVEILLANCEOP5,takeoff,0
504.05000000,BACKGROUND7,takeoff,0
510.05000000,SURVEILLANCE_EUROWINGS,landing,10706.23100142
527.05000000,SURVEILLANCE_HELICOPTER,takeoff,0
576.05000000,BACKGROUND8,takeoff,0
601.35000000,BACKGROUND3,landing,4731.92593587
621.40000000,BACKGROUND4,landing,2988.44874995
627.85000000,BACKGROUND1,landing,7271.43508168
634.75000000,BACKGROUND6,landing,1952.71358211
648.05000000,BACKGROUND9,takeoff,0
691.35000000,SURVEILLANCE_HELICOPTER,landing,8884.55679107
792.05000000,BACKGROUND10,takeoff,0
837.35000000,SURVEILLANCEOP2,landing,6208.56061897
864.05000000,BACKGROUND11,takeoff,0
923.95000000,BACKGROUND7,landing,4652.21916237
924.00000000,SURVEILLANCEOP4,landing,6490.80179230
936.05000000,BACKGROUND12,takeoff,0
1008.05000000,BACKGROUND13,takeoff,0
1009.00000000,BACKGROUND11,landing,1715.61345081
1024.70000000,SURVEILLANCEOP3,landing,8147.94603720
1060.80000000,BACKGROUND9,landing,4921.84729844
1099.20000000,BACKGROUND12,landing,1998.36325708
1151.05000000,BACKGROUND14,takeoff,0
1163.00000000,BACKGROUND10,landing,5063.81942850
1186.90000000,BACKGROUND13,landing,1868.01221669
1196.70000000,SURVEILLANCEOP5,landing,6935.34232984
1223.05000000,BACKGROUND15,takeoff,0
1295.05000000,BACKGROUND16,takeoff,0
1319.25000000,BACKGROUND14,landing,1915.33944472
1367.05000000,BACKGROUND17,takeoff,0
1439.05000000,BACKGROUND18,takeoff,0
1457.30000000,BACKGROUND15,landing,3477.13718997
1583.05000000,BACKGROUND19,takeoff,0
1613.95000000,BACKGROUND16,landing,2704.31650799
1655.05000000,BACKGROUND20,takeoff,0
1673.90000000,BACKGROUND8,landing,5831.23968692
1703.75000000,BACKGROUND17,landing,2821.05606329
1724.05000000,BACKGROUND18,landing,3665.15720029
1727.05000000,BACKGROUND21,takeoff,0
1799.05000000,BACKGROUND22,takeoff,0
