# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
108.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
120.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
139.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,start
141.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,start
159.00000000,BACKGROUND5,SURVEILLANCE_EUROWINGS,end
161.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,end
286.00000000,BACKGROUND10,SURVEILLANCE_HELICOPTER,start
299.00000000,BACKGROUND10,SURVEILLANCE_HELICOPTER,end
964.00000000,BACKGROUND31,BACKGROUND35,start
971.00000000,BACKGROUND31,BACKGROUND35,end
1487.00000000,BACKGROUND54,BACKGROUND57,start
1497.00000000,BACKGROUND54,BACKGROUND57,end
1532.00000000,BACKGROUND50,BACKGROUND54,start
1534.00000000,BACKGROUND50,BACKGROUND54,end
1796.00000000,BACKGROUND57,BACKGROUND70,start
1797.00000000,BACKGROUND57,BACKGROUND70,end
2411.00000000,BACKGROUND82,BACKGROUND89,start
2423.00000000,BACKGROUND82,BACKGROUND89,end
2430.00000000,BACKGROUND82,BACKGROUND89,start
2439.00000000,BACKGROUND82,BACKGROUND89,end
2441.00000000,BACKGROUND82,BACKGROUND89,start
2447.00000000,BACKGROUND82,BACKGROUND89,end
2449.00000000,BACKGROUND82,BACKGROUND89,start
2454.00000000,BACKGROUND82,BACKGROUND89,end
