# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND9,takeoff,0
72.05000000,BACKGROUND10,takeoff,0
80.05000000,BACKGROUND11,takeoff,0
87.05000000,BACKGROUND12,takeoff,0
94.05000000,BACKGROUND13,takeoff,0
101.05000000,BACKGROUND14,takeoff,0
108.05000000,BACKGROUND15,takeoff,0
116.05000000,BACKGROUND16,takeoff,0
123.05000000,BACKGROUND17,takeoff,0
137.05000000,BACKGROUND18,takeoff,0
144.05000000,BACKGROUND19,takeoff,0
152.05000000,BACKGROUND20,takeoff,0
159.05000000,BACKGROUND21,takeoff,0
166.05000000,BACKGROUND22,takeoff,0
173.05000000,BACKGROUND23,takeoff,0
180.05000000,BACKGROUND24,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND25,takeoff,0
195.05000000,BACKGROUND26,takeoff,0
202.05000000,BACKGROUND27,takeoff,0
209.05000000,BACKGROUND28,takeoff,0
216.05000000,BACKGROUND29,takeoff,0
224.05000000,BACKGROUND30,takeoff,0
226.00000000,BACKGROUND5,landing,2757.70767335
231.05000000,BACKGROUND31,takeoff,0
232.85000000,BACKGROUND3,landing,3038.01899240
238.05000000,BACKGROUND32,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
240.10000000,BACKGROUND15,landing,1729.05850172
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND33,takeoff,0
252.05000000,BACKGROUND34,takeoff,0
259.05000000,BACKGROUND35,takeoff,0
267.05000000,BACKGROUND36,takeoff,0
274.05000000,BACKGROUND37,takeoff,0
281.05000000,BACKGROUND38,takeoff,0
295.05000000,BACKGROUND39,takeoff,0
303.05000000,BACKGROUND40,takeoff,0
310.05000000,BACKGROUND41,takeoff,0
311.65000000,BACKGROUND6,landing,3628.05400783
317.05000000,BACKGROUND42,takeoff,0
321.00000000,BACKGROUND1,landing,4244.33641565
321.75000000,BACKGROUND17,landing,3277.96669152
324.05000000,BACKGROUND43,takeoff,0
331.05000000,BACKGROUND44,takeoff,0
334.70000000,BACKGROUND13,landing,3718.55107035
339.05000000,BACKGROUND45,takeoff,0
346.05000000,BACKGROUND46,takeoff,0
349.00000000,BACKGROUND22,landing,2468.72423866
353.05000000,BACKGROUND47,takeoff,0
355.05000000,BACKGROUND24,landing,1772.24865311
360.05000000,BACKGROUND48,takeoff,0
360.20000000,BACKGROUND19,landing,2818.81895977
366.25000000,BACKGROUND2,landing,4083.96656555
367.05000000,BACKGROUND49,takeoff,0
371.05000000,BACKGROUND16,landing,3639.43215750
372.15000000,BACKGROUND14,landing,3726.95568449
372.60000000,BACKGROUND9,landing,4691.80399791
375.05000000,BACKGROUND50,takeoff,0
377.60000000,BACKGROUND23,landing,2981.98278542
382.05000000,BACKGROUND51,takeoff,0
384.00000000,BACKGROUND12,landing,3675.95309624
392.90000000,BACKGROUND10,landing,4563.89428877
395.80000000,BACKGROUND11,landing,2331.80699831
396.05000000,BACKGROUND52,takeoff,0
403.70000000,BACKGROUND35,landing,1619.27718995
