# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
186.00000000,BACKGROUND13,BACKGROUND5,start
187.00000000,BACKGROUND13,BACKGROUND5,end
191.00000000,BACKGROUND10,BACKGROUND7,start
192.00000000,BACKGROUND10,BACKGROUND7,end
194.00000000,BACKGROUND7,BACKGROUND8,start
196.00000000,BACKGROUND7,BACKGROUND8,end
232.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,start
241.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,end
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
248.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
249.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,start
257.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,end
332.00000000,BACKGROUND44,SURVEILLANCE_EUROWINGS,start
336.00000000,BACKGROUND44,SURVEILLANCE_EUROWINGS,end
388.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,start
393.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,end
438.00000000,BACKGROUND42,BACKGROUND43,start
439.00000000,BACKGROUND42,BACKGROUND43,end
481.00000000,BACKGROUND28,BACKGROUND39,start
484.00000000,BACKGROUND28,BACKGROUND39,end
528.00000000,BACKGROUND65,SURVEILLANCE_HELICOPTER,start
538.00000000,BACKGROUND65,SURVEILLANCE_HELICOPTER,end
596.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
603.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
703.00000000,BACKGROUND46,BACKGROUND68,start
705.00000000,BACKGROUND73,BACKGROUND86,start
705.00000000,BACKGROUND46,BACKGROUND68,end
706.00000000,BACKGROUND73,BACKGROUND86,end
795.00000000,BACKGROUND83,BACKGROUND95,start
796.00000000,BACKGROUND83,BACKGROUND95,end
797.00000000,BACKGROUND61,BACKGROUND64,start
800.00000000,BACKGROUND106,BACKGROUND57,start
803.00000000,BACKGROUND61,BACKGROUND64,end
803.00000000,BACKGROUND106,BACKGROUND57,end
828.00000000,BACKGROUND103,BACKGROUND85,start
829.00000000,BACKGROUND103,BACKGROUND85,end
1105.00000000,BACKGROUND114,BACKGROUND136,start
1107.00000000,BACKGROUND114,BACKGROUND136,end
1145.00000000,BACKGROUND109,BACKGROUND142,start
1147.00000000,BACKGROUND109,BACKGROUND142,end
1181.00000000,BACKGROUND120,BACKGROUND146,start
1182.00000000,BACKGROUND120,BACKGROUND146,end
1195.00000000,BACKGROUND128,BACKGROUND142,start
1196.00000000,BACKGROUND128,BACKGROUND142,end
1200.00000000,BACKGROUND112,BACKGROUND137,start
1202.00000000,BACKGROUND112,BACKGROUND137,end
1206.00000000,BACKGROUND112,BACKGROUND154,start
1207.00000000,BACKGROUND112,BACKGROUND154,end
1208.00000000,BACKGROUND137,BACKGROUND154,start
1209.00000000,BACKGROUND137,BACKGROUND154,end
1269.00000000,BACKGROUND167,BACKGROUND85,start
1272.00000000,BACKGROUND167,BACKGROUND85,end
1352.00000000,BACKGROUND158,BACKGROUND170,start
1354.00000000,BACKGROUND158,BACKGROUND170,end
1431.00000000,BACKGROUND117,BACKGROUND183,start
1433.00000000,BACKGROUND117,BACKGROUND183,end
1494.00000000,BACKGROUND149,BACKGROUND189,start
1496.00000000,BACKGROUND149,BACKGROUND189,end
1582.00000000,BACKGROUND173,BACKGROUND207,start
1583.00000000,BACKGROUND173,BACKGROUND207,end
1617.00000000,BACKGROUND202,BACKGROUND211,start
1626.00000000,BACKGROUND202,BACKGROUND211,end
1699.00000000,BACKGROUND205,BACKGROUND226,start
1700.00000000,BACKGROUND205,BACKGROUND226,end
1711.00000000,BACKGROUND206,BACKGROUND212,start
1713.00000000,BACKGROUND206,BACKGROUND212,end
1743.00000000,BACKGROUND218,BACKGROUND222,start
1745.00000000,BACKGROUND218,BACKGROUND222,end
1747.00000000,BACKGROUND202,BACKGROUND221,start
1748.00000000,BACKGROUND202,BACKGROUND221,end
1764.00000000,BACKGROUND175,BACKGROUND227,start
1766.00000000,BACKGROUND175,BACKGROUND227,end
