# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
102.00000000,BACKGROUND13,BACKGROUND7,start
105.00000000,BACKGROUND13,BACKGROUND7,end
156.00000000,BACKGROUND12,BACKGROUND17,start
158.00000000,BACKGROUND12,BACKGROUND17,end
176.00000000,BACKGROUND13,BACKGROUND5,start
181.00000000,BACKGROUND10,BACKGROUND7,start
187.00000000,BACKGROUND13,BACKGROUND5,end
192.00000000,BACKGROUND7,BACKGROUND8,start
192.00000000,BACKGROUND10,BACKGROUND7,end
196.00000000,BACKGROUND7,BACKGROUND8,end
216.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,start
227.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
230.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,start
234.00000000,BACKGROUND15,SURVEILLANCE_LUFTHANSA,end
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
251.00000000,BACKGROUND26,SURVEILLANCE_LUFTHANSA,end
298.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,start
300.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,start
300.00000000,BACKGROUND1,SURVEILLANCE_EUROWINGS,end
303.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,end
319.00000000,BACKGROUND17,SURVEILLANCE_EUROWINGS,start
327.00000000,BACKGROUND17,SURVEILLANCE_EUROWINGS,end
331.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,start
332.00000000,BACKGROUND43,SURVEILLANCE_EUROWINGS,start
333.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,end
335.00000000,BACKGROUND33,BACKGROUND34,start
336.00000000,BACKGROUND43,SURVEILLANCE_EUROWINGS,end
341.00000000,BACKGROUND33,BACKGROUND34,end
385.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,start
396.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,end
418.00000000,BACKGROUND21,BACKGROUND34,start
420.00000000,BACKGROUND21,BACKGROUND34,end
425.00000000,BACKGROUND21,BACKGROUND34,start
426.00000000,BACKGROUND21,BACKGROUND34,end
472.00000000,BACKGROUND28,BACKGROUND39,start
484.00000000,BACKGROUND28,BACKGROUND39,end
570.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
602.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
606.00000000,BACKGROUND65,SURVEILLANCEOP2,start
607.00000000,BACKGROUND65,SURVEILLANCEOP2,end
693.00000000,BACKGROUND45,BACKGROUND67,start
698.00000000,BACKGROUND72,BACKGROUND85,start
705.00000000,BACKGROUND45,BACKGROUND67,end
706.00000000,BACKGROUND72,BACKGROUND85,end
737.00000000,BACKGROUND60,BACKGROUND63,start
738.00000000,BACKGROUND60,BACKGROUND63,end
754.00000000,BACKGROUND85,BACKGROUND88,start
755.00000000,BACKGROUND85,BACKGROUND88,end
787.00000000,BACKGROUND82,BACKGROUND93,start
794.00000000,BACKGROUND60,BACKGROUND63,start
797.00000000,BACKGROUND82,BACKGROUND93,end
800.00000000,BACKGROUND103,BACKGROUND56,start
803.00000000,BACKGROUND103,BACKGROUND56,end
804.00000000,BACKGROUND60,BACKGROUND63,end
820.00000000,BACKGROUND100,BACKGROUND84,start
822.00000000,BACKGROUND67,BACKGROUND94,start
823.00000000,BACKGROUND67,BACKGROUND94,end
829.00000000,BACKGROUND100,BACKGROUND84,end
1006.00000000,BACKGROUND107,BACKGROUND93,start
1007.00000000,BACKGROUND107,BACKGROUND93,end
1064.00000000,BACKGROUND114,BACKGROUND136,start
1068.00000000,BACKGROUND114,BACKGROUND136,end
1084.00000000,BACKGROUND117,BACKGROUND123,start
1085.00000000,BACKGROUND117,BACKGROUND123,end
1096.00000000,BACKGROUND110,BACKGROUND131,start
1107.00000000,BACKGROUND110,BACKGROUND131,end
1136.00000000,BACKGROUND106,BACKGROUND136,start
1147.00000000,BACKGROUND106,BACKGROUND136,end
1172.00000000,BACKGROUND115,BACKGROUND140,start
1182.00000000,BACKGROUND115,BACKGROUND140,end
1185.00000000,BACKGROUND123,BACKGROUND136,start
1190.00000000,BACKGROUND108,BACKGROUND132,start
1191.00000000,BACKGROUND111,BACKGROUND141,start
1193.00000000,BACKGROUND111,BACKGROUND141,end
1196.00000000,BACKGROUND123,BACKGROUND136,end
1198.00000000,BACKGROUND108,BACKGROUND147,start
1201.00000000,BACKGROUND132,BACKGROUND147,start
1202.00000000,BACKGROUND108,BACKGROUND132,end
1207.00000000,BACKGROUND108,BACKGROUND147,end
1209.00000000,BACKGROUND132,BACKGROUND147,end
1210.00000000,BACKGROUND128,BACKGROUND147,start
1213.00000000,BACKGROUND128,BACKGROUND147,end
1260.00000000,BACKGROUND159,BACKGROUND84,start
1265.00000000,BACKGROUND151,BACKGROUND55,start
1267.00000000,BACKGROUND151,BACKGROUND55,end
1272.00000000,BACKGROUND159,BACKGROUND84,end
1325.00000000,BACKGROUND142,BACKGROUND161,start
1327.00000000,BACKGROUND142,BACKGROUND161,end
1343.00000000,BACKGROUND148,BACKGROUND157,start
1343.00000000,BACKGROUND151,BACKGROUND161,start
1344.00000000,BACKGROUND148,BACKGROUND157,end
1354.00000000,BACKGROUND151,BACKGROUND161,end
1425.00000000,BACKGROUND113,BACKGROUND172,start
1433.00000000,BACKGROUND113,BACKGROUND172,end
1442.00000000,BACKGROUND160,BACKGROUND175,start
1443.00000000,BACKGROUND160,BACKGROUND175,end
1492.00000000,BACKGROUND142,BACKGROUND178,start
1496.00000000,BACKGROUND142,BACKGROUND178,end
1604.00000000,BACKGROUND181,BACKGROUND192,start
