# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
224.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,32.12923936
239.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,448.96246248
327.00000000,BACKGROUND6,SURVEILLANCE_EUROWINGS,171.51467147
328.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,230.99344288
347.00000000,BACKGROUND2,BACKGROUND6,12.40959767
475.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,462.91842692
476.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,463.78627441
501.00000000,BACKGROUND54,SURVEILLANCE_EUROWINGS,124.82628220
507.00000000,BACKGROUND38,BACKGROUND49,0.00239342
532.00000000,BACKGROUND47,BACKGROUND61,0.11011167
565.00000000,BACKGROUND43,BACKGROUND47,17.75986216
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
805.00000000,BACKGROUND60,BACKGROUND85,5.67555555
851.00000000,BACKGROUND76,BACKGROUND89,15.09436517
878.00000000,BACKGROUND108,BACKGROUND86,0.17960216
955.00000000,BACKGROUND106,BACKGROUND94,20.28743741
1019.00000000,BACKGROUND107,BACKGROUND75,0.14689758
1098.00000000,BACKGROUND128,BACKGROUND136,36.53210298
1221.00000000,BACKGROUND139,BACKGROUND151,6.41753503
1268.00000000,BACKGROUND139,BACKGROUND146,0.65714082
1281.00000000,BACKGROUND123,BACKGROUND153,2.00800902
1282.00000000,BACKGROUND144,BACKGROUND146,18.09933856
1294.00000000,BACKGROUND144,BACKGROUND47,13.46260533
1294.00000000,BACKGROUND127,BACKGROUND148,29.62650879
1313.00000000,BACKGROUND127,BACKGROUND153,3.13717845
1349.00000000,BACKGROUND122,BACKGROUND163,26.55971891
1350.00000000,BACKGROUND122,BACKGROUND163,26.80948482
1411.00000000,BACKGROUND141,BACKGROUND149,35.43797240
1443.00000000,BACKGROUND158,BACKGROUND171,2.82221676
1617.00000000,BACKGROUND185,BACKGROUND188,25.63839772
1668.00000000,BACKGROUND178,BACKGROUND195,5.45852441
1693.00000000,BACKGROUND134,BACKGROUND186,28.95429958
1744.00000000,BACKGROUND186,BACKGROUND194,12.48520113
