# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
219.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,start
228.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,end
236.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
241.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
282.00000000,BACKGROUND18,BACKGROUND5,start
283.00000000,BACKGROUND18,BACKGROUND5,end
294.00000000,BACKGROUND2,BACKGROUND6,start
299.00000000,BACKGROUND2,BACKGROUND6,end
305.00000000,BACKGROUND2,BACKGROUND6,start
315.00000000,BACKGROUND2,BACKGROUND6,end
322.00000000,BACKGROUND6,SURVEILLANCE_EUROWINGS,start
323.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,start
332.00000000,BACKGROUND2,SURVEILLANCE_EUROWINGS,end
332.00000000,BACKGROUND6,SURVEILLANCE_EUROWINGS,end
344.00000000,BACKGROUND2,BACKGROUND6,start
349.00000000,BACKGROUND2,BACKGROUND6,end
470.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,start
470.00000000,BACKGROUND30,SURVEILLANCE_EUROWINGS,start
472.00000000,BACKGROUND30,SURVEILLANCE_EUROWINGS,end
480.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,end
482.00000000,BACKGROUND23,BACKGROUND36,start
483.00000000,BACKGROUND23,BACKGROUND36,end
493.00000000,BACKGROUND54,SURVEILLANCE_EUROWINGS,start
507.00000000,BACKGROUND38,BACKGROUND49,start
508.00000000,BACKGROUND54,SURVEILLANCE_EUROWINGS,end
508.00000000,BACKGROUND38,BACKGROUND49,end
531.00000000,BACKGROUND47,BACKGROUND61,start
533.00000000,BACKGROUND47,BACKGROUND61,end
563.00000000,BACKGROUND43,BACKGROUND47,start
566.00000000,BACKGROUND43,BACKGROUND47,end
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
804.00000000,BACKGROUND60,BACKGROUND85,start
806.00000000,BACKGROUND60,BACKGROUND85,end
850.00000000,BACKGROUND76,BACKGROUND89,start
852.00000000,BACKGROUND76,BACKGROUND89,end
877.00000000,BACKGROUND108,BACKGROUND86,start
879.00000000,BACKGROUND108,BACKGROUND86,end
953.00000000,BACKGROUND106,BACKGROUND94,start
956.00000000,BACKGROUND106,BACKGROUND94,end
971.00000000,BACKGROUND119,BACKGROUND86,start
972.00000000,BACKGROUND119,BACKGROUND86,end
1018.00000000,BACKGROUND107,BACKGROUND75,start
1020.00000000,BACKGROUND107,BACKGROUND75,end
1044.00000000,BACKGROUND103,BACKGROUND126,start
1045.00000000,BACKGROUND103,BACKGROUND126,end
1065.00000000,BACKGROUND125,BACKGROUND95,start
1066.00000000,BACKGROUND125,BACKGROUND95,end
1098.00000000,BACKGROUND128,BACKGROUND136,start
1099.00000000,BACKGROUND128,BACKGROUND136,end
1220.00000000,BACKGROUND139,BACKGROUND151,start
1222.00000000,BACKGROUND139,BACKGROUND151,end
1267.00000000,BACKGROUND139,BACKGROUND146,start
1269.00000000,BACKGROUND139,BACKGROUND146,end
1281.00000000,BACKGROUND123,BACKGROUND153,start
1282.00000000,BACKGROUND144,BACKGROUND146,start
1282.00000000,BACKGROUND123,BACKGROUND153,end
1283.00000000,BACKGROUND144,BACKGROUND146,end
1294.00000000,BACKGROUND144,BACKGROUND47,start
1294.00000000,BACKGROUND127,BACKGROUND148,start
1295.00000000,BACKGROUND144,BACKGROUND47,end
1295.00000000,BACKGROUND127,BACKGROUND148,end
1312.00000000,BACKGROUND127,BACKGROUND153,start
1314.00000000,BACKGROUND127,BACKGROUND153,end
1345.00000000,BACKGROUND122,BACKGROUND163,start
1352.00000000,BACKGROUND122,BACKGROUND163,end
1411.00000000,BACKGROUND141,BACKGROUND149,start
1412.00000000,BACKGROUND141,BACKGROUND149,end
1442.00000000,BACKGROUND158,BACKGROUND171,start
1444.00000000,BACKGROUND158,BACKGROUND171,end
1589.00000000,BACKGROUND141,BACKGROUND167,start
1590.00000000,BACKGROUND141,BACKGROUND167,end
1592.00000000,BACKGROUND134,BACKGROUND186,start
1617.00000000,BACKGROUND185,BACKGROUND188,start
1618.00000000,BACKGROUND185,BACKGROUND188,end
1667.00000000,BACKGROUND178,BACKGROUND195,start
1669.00000000,BACKGROUND178,BACKGROUND195,end
1681.00000000,BACKGROUND134,BACKGROUND186,end
1690.00000000,BACKGROUND134,BACKGROUND186,start
1695.00000000,BACKGROUND134,BACKGROUND186,end
1743.00000000,BACKGROUND186,BACKGROUND194,start
1746.00000000,BACKGROUND186,BACKGROUND194,end
