# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
184.00000000,BACKGROUND10,SURVEILLANCE_LUFTHANSA,104.64620527
185.00000000,BACKGROUND10,SURVEILLANCE_LUFTHANSA,104.42322512
238.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,449.47699894
275.00000000,BACKGROUND17,BACKGROUND8,36.96564286
340.00000000,BACKGROUND23,BACKGROUND32,36.26762940
479.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,372.34391924
493.00000000,BACKGROUND37,SURVEILLANCE_EUROWINGS,353.96394858
495.00000000,BACKGROUND31,SURVEILLANCE_EUROWINGS,341.68247109
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,52.83971899
632.00000000,BACKGROUND70,BACKGROUND72,16.85414338
964.00000000,BACKGROUND117,BACKGROUND84,0.94890495
1221.00000000,BACKGROUND125,BACKGROUND146,32.94234181
1222.00000000,BACKGROUND125,BACKGROUND146,33.72513783
1224.00000000,BACKGROUND125,BACKGROUND146,32.22733063
1274.00000000,BACKGROUND140,BACKGROUND44,25.74186299
1281.00000000,BACKGROUND139,BACKGROUND158,3.47926396
1405.00000000,BACKGROUND149,BACKGROUND173,28.16707585
1445.00000000,BACKGROUND176,BACKGROUND65,12.66567378
1447.00000000,BACKGROUND161,BACKGROUND164,26.37069964
1513.00000000,BACKGROUND176,BACKGROUND177,13.44772905
1548.00000000,BACKGROUND184,BACKGROUND185,0.01936505
1573.00000000,BACKGROUND184,BACKGROUND185,0.06858385
1609.00000000,BACKGROUND182,BACKGROUND192,14.49831722
1652.00000000,BACKGROUND124,BACKGROUND138,0.06520528
1796.00000000,BACKGROUND179,BACKGROUND210,5.35770481
