# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
183.00000000,BACKGROUND16,SURVEILLANCE_LUFTHANSA,481.38376124
210.00000000,BACKGROUND10,SURVEILLANCE_LUFTHANSA,443.12041175
224.00000000,BACKGROUND25,SURVEILLANCE_LUFTHANSA,435.03209898
234.00000000,BACKGROUND18,SURVEILLANCE_LUFTHANSA,470.40458660
236.00000000,BACKGROUND30,SURVEILLANCE_LUFTHANSA,291.74416031
244.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,439.99400805
274.00000000,BACKGROUND20,BACKGROUND23,1.01888218
335.00000000,BACKGROUND12,SURVEILLANCE_EUROWINGS,28.87920021
341.00000000,BACKGROUND40,BACKGROUND42,29.32882633
343.00000000,BACKGROUND46,SURVEILLANCE_EUROWINGS,448.56490418
441.00000000,BACKGROUND40,BACKGROUND43,18.72946369
548.00000000,BACKGROUND51,BACKGROUND65,0.30670045
595.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,68.02782249
618.00000000,BACKGROUND49,BACKGROUND83,0.01032126
784.00000000,BACKGROUND101,BACKGROUND77,9.75150166
905.00000000,BACKGROUND114,BACKGROUND116,0.02437145
924.00000000,BACKGROUND108,BACKGROUND122,9.14977945
1272.00000000,BACKGROUND137,BACKGROUND162,0.09302126
1380.00000000,BACKGROUND160,BACKGROUND179,36.78058128
1392.00000000,BACKGROUND152,BACKGROUND162,17.55082654
1415.00000000,BACKGROUND150,BACKGROUND174,1.97052679
1453.00000000,BACKGROUND175,BACKGROUND180,0.34691123
1459.00000000,BACKGROUND152,BACKGROUND156,24.43090479
1478.00000000,BACKGROUND178,BACKGROUND181,0.69318371
1484.00000000,BACKGROUND185,BACKGROUND195,29.89984013
1581.00000000,BACKGROUND124,BACKGROUND186,0.51945530
1591.00000000,BACKGROUND147,BACKGROUND186,18.40990013
1635.00000000,BACKGROUND162,BACKGROUND201,24.10728421
