# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
243.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,60.01838042
246.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,434.49387713
335.00000000,BACKGROUND40,SURVEILLANCE_EUROWINGS,100.71594015
337.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,118.04021824
354.00000000,BACKGROUND18,BACKGROUND21,28.49687632
359.00000000,BACKGROUND16,SURVEILLANCE_EUROWINGS,201.77275299
383.00000000,BACKGROUND29,BACKGROUND40,5.19635215
444.00000000,BACKGROUND53,BACKGROUND59,0.04784904
478.00000000,BACKGROUND44,BACKGROUND52,27.84850427
503.00000000,BACKGROUND29,BACKGROUND57,16.99544339
532.00000000,BACKGROUND47,SURVEILLANCEOP5,3.25778359
583.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,90.42624198
604.00000000,BACKGROUND60,BACKGROUND74,0.68053922
649.00000000,BACKGROUND70,BACKGROUND80,1.35048273
687.00000000,BACKGROUND69,BACKGROUND80,5.33974371
719.00000000,BACKGROUND61,BACKGROUND88,31.17685892
807.00000000,BACKGROUND105,BACKGROUND109,2.22413755
823.00000000,BACKGROUND85,BACKGROUND98,14.09494058
951.00000000,BACKGROUND120,BACKGROUND99,1.15851382
1017.00000000,BACKGROUND102,BACKGROUND108,35.94286495
1140.00000000,BACKGROUND129,BACKGROUND141,36.19989268
1253.00000000,BACKGROUND115,BACKGROUND143,13.27141025
1294.00000000,BACKGROUND154,BACKGROUND162,0.00714686
1320.00000000,BACKGROUND161,BACKGROUND168,16.79438179
1368.00000000,BACKGROUND164,BACKGROUND175,4.53615919
1373.00000000,BACKGROUND152,BACKGROUND179,2.80457129
1656.00000000,BACKGROUND186,BACKGROUND206,0.50236606
1658.00000000,BACKGROUND190,BACKGROUND206,1.00351074
1664.00000000,BACKGROUND204,BACKGROUND208,5.43420458
1665.00000000,BACKGROUND186,BACKGROUND190,0.01888655
1696.00000000,BACKGROUND192,BACKGROUND217,1.57328546
