# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
268.00000000,BACKGROUND18,BACKGROUND20,1.32486533
293.00000000,BACKGROUND18,BACKGROUND21,0.26231109
348.00000000,BACKGROUND21,BACKGROUND35,32.02804810
414.00000000,BACKGROUND22,BACKGROUND44,36.92497367
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,1.53118055
636.00000000,BACKGROUND67,BACKGROUND81,1.89093113
641.00000000,BACKGROUND27,BACKGROUND75,7.50664668
735.00000000,BACKGROUND50,BACKGROUND89,0.65559091
743.00000000,BACKGROUND53,BACKGROUND68,0.27346559
981.00000000,BACKGROUND114,BACKGROUND85,34.14024629
1116.00000000,BACKGROUND145,BACKGROUND148,22.08804158
1126.00000000,BACKGROUND112,BACKGROUND141,0.10576085
1158.00000000,BACKGROUND113,BACKGROUND76,0.02334773
1372.00000000,BACKGROUND143,BACKGROUND157,0.77012092
1403.00000000,BACKGROUND162,BACKGROUND176,20.05262241
1491.00000000,BACKGROUND177,BACKGROUND185,31.20234111
1496.00000000,BACKGROUND155,BACKGROUND199,11.24374603
1523.00000000,BACKGROUND168,BACKGROUND196,7.46155889
1574.00000000,BACKGROUND203,BACKGROUND205,8.67629752
1609.00000000,BACKGROUND180,BACKGROUND198,8.63299157
