# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
266.00000000,BACKGROUND4,BACKGROUND8,start
272.00000000,BACKGROUND4,BACKGROUND8,end
293.00000000,BACKGROUND30,BACKGROUND34,start
295.00000000,BACKGROUND30,BACKGROUND34,end
298.00000000,BACKGROUND12,BACKGROUND24,start
309.00000000,BACKGROUND12,BACKGROUND24,end
313.00000000,BACKGROUND29,BACKGROUND39,start
321.00000000,BACKGROUND29,BACKGROUND39,end
367.00000000,BACKGROUND20,BACKGROUND34,start
368.00000000,BACKGROUND20,BACKGROUND34,end
379.00000000,BACKGROUND27,BACKGROUND49,start
383.00000000,BACKGROUND16,BACKGROUND5,start
384.00000000,BACKGROUND16,BACKGROUND5,end
385.00000000,BACKGROUND27,BACKGROUND49,end
457.00000000,BACKGROUND58,BACKGROUND62,start
458.00000000,BACKGROUND58,BACKGROUND62,end
475.00000000,BACKGROUND58,BACKGROUND62,start
485.00000000,BACKGROUND58,BACKGROUND62,end
552.00000000,BACKGROUND55,BACKGROUND60,start
553.00000000,BACKGROUND55,BACKGROUND60,end
555.00000000,BACKGROUND43,BACKGROUND67,start
560.00000000,BACKGROUND39,BACKGROUND59,start
566.00000000,BACKGROUND43,BACKGROUND67,end
568.00000000,BACKGROUND39,BACKGROUND59,end
575.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
577.00000000,BACKGROUND58,BACKGROUND65,start
586.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
587.00000000,BACKGROUND58,BACKGROUND65,end
588.00000000,BACKGROUND35,BACKGROUND63,start
590.00000000,BACKGROUND35,BACKGROUND63,end
593.00000000,BACKGROUND40,BACKGROUND64,start
594.00000000,BACKGROUND6,BACKGROUND79,start
598.00000000,BACKGROUND40,BACKGROUND64,end
602.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,start
603.00000000,BACKGROUND6,BACKGROUND79,end
604.00000000,SURVEILLANCEOP4,SURVEILLANCEOP5,end
609.00000000,BACKGROUND63,BACKGROUND76,start
613.00000000,BACKGROUND40,BACKGROUND64,start
615.00000000,BACKGROUND40,BACKGROUND64,end
620.00000000,BACKGROUND63,BACKGROUND76,end
622.00000000,BACKGROUND40,BACKGROUND64,start
623.00000000,BACKGROUND40,BACKGROUND64,end
629.00000000,BACKGROUND81,BACKGROUND82,start
630.00000000,BACKGROUND35,BACKGROUND76,start
632.00000000,BACKGROUND81,BACKGROUND82,end
638.00000000,BACKGROUND69,BACKGROUND75,start
639.00000000,BACKGROUND35,BACKGROUND76,end
643.00000000,BACKGROUND69,BACKGROUND75,end
691.00000000,BACKGROUND79,BACKGROUND82,start
701.00000000,BACKGROUND70,BACKGROUND90,start
702.00000000,BACKGROUND79,BACKGROUND82,end
706.00000000,BACKGROUND70,BACKGROUND90,end
737.00000000,BACKGROUND50,BACKGROUND87,start
747.00000000,BACKGROUND50,BACKGROUND87,end
773.00000000,BACKGROUND50,BACKGROUND89,start
782.00000000,BACKGROUND50,BACKGROUND89,end
786.00000000,BACKGROUND36,BACKGROUND78,start
787.00000000,BACKGROUND36,BACKGROUND78,end
882.00000000,BACKGROUND109,BACKGROUND80,start
888.00000000,BACKGROUND109,BACKGROUND80,end
948.00000000,BACKGROUND108,BACKGROUND98,start
958.00000000,BACKGROUND108,BACKGROUND98,end
1021.00000000,BACKGROUND104,SURVEILLANCEOP5,start
1024.00000000,BACKGROUND104,SURVEILLANCEOP5,end
1059.00000000,BACKGROUND126,BACKGROUND136,start
1060.00000000,BACKGROUND126,BACKGROUND136,end
1067.00000000,BACKGROUND126,BACKGROUND128,start
1080.00000000,BACKGROUND126,BACKGROUND128,end
1096.00000000,BACKGROUND117,BACKGROUND128,start
1107.00000000,BACKGROUND117,BACKGROUND121,start
1108.00000000,BACKGROUND117,BACKGROUND128,end
1113.00000000,BACKGROUND117,BACKGROUND121,end
1160.00000000,BACKGROUND114,BACKGROUND138,start
1170.00000000,BACKGROUND114,BACKGROUND138,end
1183.00000000,BACKGROUND149,BACKGROUND153,start
1186.00000000,BACKGROUND149,BACKGROUND153,end
1198.00000000,BACKGROUND149,BACKGROUND153,start
1201.00000000,BACKGROUND149,BACKGROUND153,end
1268.00000000,BACKGROUND145,BACKGROUND164,start
1272.00000000,BACKGROUND145,BACKGROUND164,end
1279.00000000,BACKGROUND150,BACKGROUND159,start
1286.00000000,BACKGROUND150,BACKGROUND159,end
1313.00000000,BACKGROUND142,BACKGROUND155,start
1315.00000000,BACKGROUND142,BACKGROUND155,end
1411.00000000,BACKGROUND177,BACKGROUND183,start
1413.00000000,BACKGROUND177,BACKGROUND183,end
1421.00000000,BACKGROUND177,BACKGROUND183,start
1500.00000000,BACKGROUND186,BACKGROUND189,start
1502.00000000,BACKGROUND186,BACKGROUND189,end
1503.00000000,BACKGROUND168,BACKGROUND188,start
1505.00000000,BACKGROUND168,BACKGROUND188,end
1523.00000000,BACKGROUND177,BACKGROUND188,start
1524.00000000,BACKGROUND183,BACKGROUND188,start
1536.00000000,BACKGROUND177,BACKGROUND188,end
1536.00000000,BACKGROUND183,BACKGROUND188,end
1540.00000000,BACKGROUND177,BACKGROUND183,end
1545.00000000,BACKGROUND193,BACKGROUND199,start
1555.00000000,BACKGROUND193,BACKGROUND199,end
1561.00000000,BACKGROUND185,BACKGROUND203,start
1563.00000000,BACKGROUND168,BACKGROUND177,start
1563.00000000,BACKGROUND185,BACKGROUND203,end
1564.00000000,BACKGROUND168,BACKGROUND177,end
1593.00000000,BACKGROUND158,BACKGROUND200,start
1602.00000000,BACKGROUND184,BACKGROUND207,start
1603.00000000,BACKGROUND184,BACKGROUND207,end
1604.00000000,BACKGROUND184,BACKGROUND207,start
1604.00000000,BACKGROUND158,BACKGROUND200,end
1605.00000000,BACKGROUND184,BACKGROUND207,end
1666.00000000,BACKGROUND203,BACKGROUND213,start
1670.00000000,BACKGROUND203,BACKGROUND213,end
1692.00000000,BACKGROUND139,BACKGROUND213,start
1695.00000000,BACKGROUND205,BACKGROUND220,start
1707.00000000,BACKGROUND199,BACKGROUND208,start
1707.00000000,BACKGROUND205,BACKGROUND220,end
1709.00000000,BACKGROUND139,BACKGROUND213,end
