# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
307.00000000,BACKGROUND12,BACKGROUND24,start
309.00000000,BACKGROUND12,BACKGROUND24,end
383.00000000,BACKGROUND27,BACKGROUND49,start
385.00000000,BACKGROUND27,BACKGROUND49,end
480.00000000,BACKGROUND58,BACKGROUND62,start
485.00000000,BACKGROUND58,BACKGROUND62,end
565.00000000,BACKGROUND43,BACKGROUND67,start
566.00000000,BACKGROUND43,BACKGROUND67,end
567.00000000,BACKGROUND39,BACKGROUND59,start
568.00000000,BACKGROUND39,BACKGROUND59,end
585.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,BACKGROUND58,BACKGROUND65,start
586.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
587.00000000,BACKGROUND58,BACKGROUND65,end
601.00000000,BACKGROUND6,BACKGROUND79,start
603.00000000,BACKGROUND6,BACKGROUND79,end
619.00000000,BACKGROUND63,BACKGROUND76,start
620.00000000,BACKGROUND63,BACKGROUND76,end
622.00000000,BACKGROUND40,BACKGROUND64,start
623.00000000,BACKGROUND40,BACKGROUND64,end
631.00000000,BACKGROUND81,BACKGROUND82,start
632.00000000,BACKGROUND81,BACKGROUND82,end
636.00000000,BACKGROUND35,BACKGROUND76,start
639.00000000,BACKGROUND35,BACKGROUND76,end
700.00000000,BACKGROUND79,BACKGROUND82,start
702.00000000,BACKGROUND79,BACKGROUND82,end
704.00000000,BACKGROUND70,BACKGROUND90,start
706.00000000,BACKGROUND70,BACKGROUND90,end
745.00000000,BACKGROUND50,BACKGROUND87,start
747.00000000,BACKGROUND50,BACKGROUND87,end
781.00000000,BACKGROUND50,BACKGROUND89,start
782.00000000,BACKGROUND50,BACKGROUND89,end
957.00000000,BACKGROUND108,BACKGROUND98,start
958.00000000,BACKGROUND108,BACKGROUND98,end
1077.00000000,BACKGROUND126,BACKGROUND128,start
1080.00000000,BACKGROUND126,BACKGROUND128,end
1106.00000000,BACKGROUND117,BACKGROUND128,start
1108.00000000,BACKGROUND117,BACKGROUND128,end
1168.00000000,BACKGROUND114,BACKGROUND138,start
1170.00000000,BACKGROUND114,BACKGROUND138,end
1269.00000000,BACKGROUND145,BACKGROUND164,start
1272.00000000,BACKGROUND145,BACKGROUND164,end
1411.00000000,BACKGROUND177,BACKGROUND183,start
1413.00000000,BACKGROUND177,BACKGROUND183,end
1433.00000000,BACKGROUND177,BACKGROUND183,start
1534.00000000,BACKGROUND177,BACKGROUND188,start
1535.00000000,BACKGROUND183,BACKGROUND188,start
1536.00000000,BACKGROUND177,BACKGROUND188,end
1536.00000000,BACKGROUND183,BACKGROUND188,end
1540.00000000,BACKGROUND177,BACKGROUND183,end
1549.00000000,BACKGROUND193,BACKGROUND199,start
1555.00000000,BACKGROUND193,BACKGROUND199,end
1603.00000000,BACKGROUND158,BACKGROUND200,start
1604.00000000,BACKGROUND158,BACKGROUND200,end
1704.00000000,BACKGROUND139,BACKGROUND213,start
1705.00000000,BACKGROUND205,BACKGROUND220,start
1707.00000000,BACKGROUND205,BACKGROUND220,end
1709.00000000,BACKGROUND139,BACKGROUND213,end
1717.00000000,BACKGROUND199,BACKGROUND208,start
1718.00000000,BACKGROUND199,BACKGROUND208,end
1728.00000000,BACKGROUND219,BACKGROUND221,start
1729.00000000,BACKGROUND219,BACKGROUND221,end
1741.00000000,BACKGROUND186,BACKGROUND217,start
1742.00000000,BACKGROUND186,BACKGROUND217,end
1756.00000000,BACKGROUND206,BACKGROUND222,start
1761.00000000,BACKGROUND206,BACKGROUND222,end
1785.00000000,BACKGROUND197,BACKGROUND226,start
1787.00000000,BACKGROUND197,BACKGROUND226,end
