# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,start
198.00000000,BACKGROUND14,SURVEILLANCE_LUFTHANSA,end
236.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
240.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
307.00000000,BACKGROUND10,BACKGROUND21,start
309.00000000,BACKGROUND10,BACKGROUND21,end
333.00000000,BACKGROUND15,SURVEILLANCE_EUROWINGS,start
336.00000000,BACKGROUND15,SURVEILLANCE_EUROWINGS,end
338.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
344.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
383.00000000,BACKGROUND24,BACKGROUND45,start
385.00000000,BACKGROUND24,BACKGROUND45,end
480.00000000,BACKGROUND53,BACKGROUND57,start
485.00000000,BACKGROUND53,BACKGROUND57,end
579.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,start
586.00000000,BACKGROUND53,BACKGROUND60,start
587.00000000,BACKGROUND53,BACKGROUND60,end
587.00000000,SURVEILLANCEOP3,SURVEILLANCE_HELICOPTER,end
601.00000000,BACKGROUND6,BACKGROUND74,start
603.00000000,BACKGROUND6,BACKGROUND74,end
619.00000000,BACKGROUND37,BACKGROUND59,start
619.00000000,BACKGROUND58,BACKGROUND72,start
620.00000000,BACKGROUND58,BACKGROUND72,end
621.00000000,BACKGROUND37,BACKGROUND59,end
631.00000000,BACKGROUND76,BACKGROUND77,start
632.00000000,BACKGROUND76,BACKGROUND77,end
636.00000000,BACKGROUND32,BACKGROUND72,start
639.00000000,BACKGROUND32,BACKGROUND72,end
668.00000000,BACKGROUND15,BACKGROUND45,start
671.00000000,BACKGROUND15,BACKGROUND45,end
700.00000000,BACKGROUND74,BACKGROUND77,start
702.00000000,BACKGROUND74,BACKGROUND77,end
704.00000000,BACKGROUND65,BACKGROUND85,start
706.00000000,BACKGROUND65,BACKGROUND85,end
745.00000000,BACKGROUND46,BACKGROUND82,start
747.00000000,BACKGROUND46,BACKGROUND82,end
781.00000000,BACKGROUND46,BACKGROUND84,start
782.00000000,BACKGROUND46,BACKGROUND84,end
957.00000000,BACKGROUND104,BACKGROUND93,start
958.00000000,BACKGROUND104,BACKGROUND93,end
1077.00000000,BACKGROUND121,BACKGROUND123,start
1080.00000000,BACKGROUND121,BACKGROUND123,end
1109.00000000,BACKGROUND112,BACKGROUND116,start
1110.00000000,BACKGROUND112,BACKGROUND116,end
1269.00000000,BACKGROUND140,BACKGROUND159,start
1272.00000000,BACKGROUND140,BACKGROUND159,end
1411.00000000,BACKGROUND172,BACKGROUND178,start
1413.00000000,BACKGROUND172,BACKGROUND178,end
1433.00000000,BACKGROUND172,BACKGROUND178,start
1463.00000000,BACKGROUND164,BACKGROUND183,start
1465.00000000,BACKGROUND164,BACKGROUND183,end
1534.00000000,BACKGROUND172,BACKGROUND183,start
1535.00000000,BACKGROUND178,BACKGROUND183,start
1536.00000000,BACKGROUND172,BACKGROUND183,end
1537.00000000,BACKGROUND178,BACKGROUND183,end
1538.00000000,BACKGROUND172,BACKGROUND178,end
1549.00000000,BACKGROUND188,BACKGROUND194,start
1555.00000000,BACKGROUND188,BACKGROUND194,end
1604.00000000,BACKGROUND153,BACKGROUND195,start
1606.00000000,BACKGROUND153,BACKGROUND195,end
1704.00000000,BACKGROUND134,BACKGROUND207,start
1705.00000000,BACKGROUND200,BACKGROUND213,start
1707.00000000,BACKGROUND200,BACKGROUND213,end
1709.00000000,BACKGROUND134,BACKGROUND207,end
1717.00000000,BACKGROUND194,BACKGROUND202,start
1718.00000000,BACKGROUND194,BACKGROUND202,end
1728.00000000,BACKGROUND212,BACKGROUND214,start
1729.00000000,BACKGROUND212,BACKGROUND214,end
1741.00000000,BACKGROUND181,BACKGROUND210,start
1742.00000000,BACKGROUND181,BACKGROUND210,end
1756.00000000,BACKGROUND201,BACKGROUND215,start
1762.00000000,BACKGROUND201,BACKGROUND215,end
1785.00000000,BACKGROUND192,BACKGROUND219,start
1787.00000000,BACKGROUND192,BACKGROUND219,end
