# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
8.05000000,BACKGROUND1,takeoff,0
15.05000000,BACKGROUND2,takeoff,0
22.05000000,BACKGROUND3,takeoff,0
29.05000000,BACKGROUND4,takeoff,0
36.05000000,BACKGROUND5,takeoff,0
44.05000000,BACKGROUND6,takeoff,0
51.05000000,BACKGROUND7,takeoff,0
58.05000000,BACKGROUND8,takeoff,0
60.05000000,SURVEILLANCE_TURKISH,takeoff,0
65.05000000,BACKGROUND9,takeoff,0
72.05000000,BACKGROUND10,takeoff,0
80.05000000,BACKGROUND11,takeoff,0
87.05000000,BACKGROUND12,takeoff,0
94.05000000,BACKGROUND13,takeoff,0
101.05000000,BACKGROUND14,takeoff,0
108.05000000,BACKGROUND15,takeoff,0
116.05000000,BACKGROUND16,takeoff,0
123.05000000,BACKGROUND17,takeoff,0
130.05000000,BACKGROUND18,takeoff,0
137.05000000,BACKGROUND19,takeoff,0
144.05000000,BACKGROUND20,takeoff,0
152.05000000,BACKGROUND21,takeoff,0
159.05000000,BACKGROUND22,takeoff,0
166.05000000,BACKGROUND23,takeoff,0
173.05000000,BACKGROUND24,takeoff,0
180.05000000,BACKGROUND25,takeoff,0
180.05000000,SURVEILLANCE_LUFTHANSA,takeoff,0
181.05000000,SURVEILLANCEOP1,takeoff,0
181.05000000,SURVEILLANCEOP2,takeoff,0
181.05000000,SURVEILLANCEOP3,takeoff,0
188.05000000,BACKGROUND26,takeoff,0
195.05000000,BACKGROUND27,takeoff,0
216.05000000,BACKGROUND28,takeoff,0
224.05000000,BACKGROUND29,takeoff,0
231.05000000,BACKGROUND30,takeoff,0
238.05000000,BACKGROUND31,takeoff,0
240.05000000,SURVEILLANCE_EUROWINGS,takeoff,0
241.05000000,SURVEILLANCEOP4,takeoff,0
245.05000000,BACKGROUND32,takeoff,0
251.70000000,BACKGROUND4,landing,3516.53843667
252.05000000,BACKGROUND33,takeoff,0
259.05000000,BACKGROUND34,takeoff,0
267.05000000,BACKGROUND35,takeoff,0
274.05000000,BACKGROUND36,takeoff,0
281.05000000,BACKGROUND37,takeoff,0
288.05000000,BACKGROUND38,takeoff,0
288.45000000,BACKGROUND18,landing,1411.19419945
295.05000000,BACKGROUND39,takeoff,0
303.05000000,BACKGROUND40,takeoff,0
307.70000000,BACKGROUND9,landing,3761.22584442
310.05000000,BACKGROUND41,takeoff,0
317.05000000,BACKGROUND42,takeoff,0
322.60000000,BACKGROUND8,landing,4295.63324177
329.20000000,BACKGROUND2,landing,3779.14986471
331.05000000,BACKGROUND43,takeoff,0
339.05000000,BACKGROUND44,takeoff,0
341.00000000,BACKGROUND7,landing,3131.94137196
342.10000000,BACKGROUND27,landing,1484.97584805
346.05000000,BACKGROUND45,takeoff,0
347.80000000,BACKGROUND15,landing,3219.64185012
353.05000000,BACKGROUND46,takeoff,0
360.05000000,BACKGROUND47,takeoff,0
365.80000000,BACKGROUND20,landing,3331.83451686
367.05000000,BACKGROUND48,takeoff,0
375.05000000,BACKGROUND49,takeoff,0
377.40000000,BACKGROUND10,landing,2455.49454494
381.25000000,BACKGROUND21,landing,2640.03709352
382.05000000,BACKGROUND50,takeoff,0
389.05000000,BACKGROUND51,takeoff,0
396.05000000,BACKGROUND52,takeoff,0
405.10000000,BACKGROUND23,landing,3833.93373895
411.05000000,BACKGROUND53,takeoff,0
414.00000000,BACKGROUND13,landing,2327.06417402
418.05000000,BACKGROUND54,takeoff,0
418.10000000,BACKGROUND12,landing,5595.38577775
425.05000000,BACKGROUND55,takeoff,0
431.30000000,BACKGROUND5,landing,4463.18371866
432.05000000,BACKGROUND56,takeoff,0
434.70000000,BACKGROUND31,landing,2195.63184905
