# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
181.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,start
181.00000000,BACKGROUND20,SURVEILLANCE_LUFTHANSA,start
191.00000000,BACKGROUND20,SURVEILLANCE_LUFTHANSA,end
192.00000000,BACKGROUND10,BACKGROUND8,start
202.00000000,BACKGROUND10,BACKGROUND8,end
224.00000000,BACKGROUND6,SURVEILLANCE_LUFTHANSA,end
247.00000000,BACKGROUND22,SURVEILLANCE_LUFTHANSA,start
253.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,start
265.00000000,BACKGROUND22,SURVEILLANCE_LUFTHANSA,end
267.00000000,SURVEILLANCEOP1,SURVEILLANCE_LUFTHANSA,end
294.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,start
316.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,start
318.00000000,BACKGROUND36,SURVEILLANCE_EUROWINGS,end
324.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,start
332.00000000,BACKGROUND25,SURVEILLANCE_EUROWINGS,end
336.00000000,BACKGROUND10,SURVEILLANCE_EUROWINGS,end
357.00000000,BACKGROUND23,SURVEILLANCE_EUROWINGS,start
361.00000000,BACKGROUND19,BACKGROUND47,start
365.00000000,BACKGROUND11,BACKGROUND33,start
375.00000000,BACKGROUND11,BACKGROUND33,end
386.00000000,BACKGROUND44,BACKGROUND46,start
393.00000000,BACKGROUND23,SURVEILLANCE_EUROWINGS,end
395.00000000,BACKGROUND19,BACKGROUND47,end
404.00000000,BACKGROUND44,BACKGROUND46,end
472.00000000,BACKGROUND51,SURVEILLANCE_EUROWINGS,start
473.00000000,BACKGROUND37,BACKGROUND54,start
474.00000000,BACKGROUND26,BACKGROUND60,start
475.00000000,BACKGROUND26,BACKGROUND60,end
484.00000000,BACKGROUND37,BACKGROUND54,end
498.00000000,BACKGROUND51,SURVEILLANCE_EUROWINGS,end
536.00000000,BACKGROUND3,BACKGROUND30,start
537.00000000,BACKGROUND52,BACKGROUND68,start
537.00000000,BACKGROUND3,BACKGROUND30,end
544.00000000,BACKGROUND58,BACKGROUND67,start
550.00000000,BACKGROUND52,BACKGROUND68,end
555.00000000,BACKGROUND58,BACKGROUND67,end
559.00000000,BACKGROUND57,SURVEILLANCE_HELICOPTER,start
563.00000000,BACKGROUND57,SURVEILLANCE_HELICOPTER,end
