# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
81.05000000,BACKGROUND1,takeoff,0
162.05000000,BACKGROUND2,takeoff,0
310.35000000,BACKGROUND2,landing,1921.15071905
320.55000000,BACKGROUND1,landing,2555.04050827
484.05000000,BACKGROUND3,takeoff,0
564.05000000,BACKGROUND4,takeoff,0
645.05000000,BACKGROUND5,takeoff,0
726.05000000,BACKGROUND6,takeoff,0
789.30000000,BACKGROUND3,landing,4721.37986257
866.05000000,BACKGROUND7,takeoff,0
887.05000000,BACKGROUND8,takeoff,0
900.70000000,BACKGROUND7,landing,716.46917930
900.70000000,BACKGROUND7,takeoff,0
904.35000000,BACKGROUND6,landing,1750.55508762
904.35000000,BACKGROUND6,takeoff,0
904.55000000,BACKGROUND8,landing,253.90630095
904.55000000,BACKGROUND8,takeoff,0
911.20000000,BACKGROUND5,landing,4213.91626647
911.20000000,BACKGROUND5,takeoff,0
1050.65000000,BACKGROUND4,landing,1020.50284813
1050.65000000,BACKGROUND4,takeoff,0
1109.90000000,BACKGROUND5,landing,941.78223573
1189.30000000,BACKGROUND8,landing,3918.31457289
1191.25000000,BACKGROUND6,landing,2081.58164763
1224.05000000,BACKGROUND7,landing,4153.67843383
1224.05000000,BACKGROUND7,takeoff,0
1329.45000000,BACKGROUND7,landing,941.61496618
1644.45000000,BACKGROUND4,landing,4745.44505040
1644.45000000,BACKGROUND4,takeoff,0
1663.05000000,BACKGROUND4,landing,78.93638653
