# STATE LOG - Positions and velocities of all drones - Simulation Time [s], identifier, aircraft type, latitude, longitude, altitude, heading, track angle, true airspeed, ground speed, ground speed north, ground speed east, vertical speed, longitudinal acceleration
# simt, id, type, lat, lon, alt, hdg, trk, tas, gs, gsnorth, gseast, vs, ax
82.00000000,BACKGROUND1,M600,52.38059647,9.81836440,25.00122000,40.01755550,40.01755550,1.97500000,1.97500000,1.51254873,1.26996904,0.00000000,3.50000000
83.00000000,BACKGROUND1,M600,52.38062273,9.81840052,25.00122000,40.01758280,40.01758280,5.47500000,5.47500000,4.19301315,3.52054907,0.00000000,3.50000000
84.00000000,BACKGROUND1,M600,52.38067309,9.81846980,25.00122000,40.01763639,40.01763639,8.97500000,8.97500000,6.87347277,5.77113481,0.00000000,3.50000000
85.00000000,BACKGROUND1,M600,52.38074756,9.81857223,25.00122000,40.01771627,40.01771627,12.47500000,12.47500000,9.55392451,8.02172996,0.00000000,3.50000000
86.00000000,BACKGROUND1,M600,52.38084614,9.81870782,25.00122000,40.01782248,40.01782248,15.97500000,15.97500000,12.23436525,10.27233820,0.00000000,3.50000000
87.00000000,BACKGROUND1,M600,52.38096642,9.81887327,25.00122000,40.01795298,40.01795298,18.00000000,18.00000000,13.78517392,11.57449697,0.00000000,0.00000000
88.00000000,BACKGROUND1,M600,52.38109039,9.81904380,25.00122000,40.01808831,40.01808831,18.00000000,18.00000000,13.78514658,11.57452953,0.00000000,0.00000000
89.00000000,BACKGROUND1,M600,52.38121436,9.81921433,25.00122000,40.01822371,40.01822371,18.00000000,18.00000000,13.78511922,11.57456211,0.00000000,0.00000000
90.00000000,BACKGROUND1,M600,52.38133834,9.81938486,25.00122000,40.01835921,40.01835921,18.00000000,18.00000000,13.78509185,11.57459471,0.00000000,0.00000000
91.00000000,BACKGROUND1,M600,52.38146231,9.81955539,25.00122000,40.01849489,40.01849489,18.00000000,18.00000000,13.78506444,11.57462735,0.00000000,0.00000000
92.00000000,BACKGROUND1,M600,52.38157995,9.81971722,25.00122000,40.01862496,40.01862496,15.55000000,15.55000000,11.90874130,9.99921900,0.00000000,-3.50000000
93.00000000,BACKGROUND1,M600,52.38167439,9.81984713,25.00122000,40.01873126,40.01873126,12.05000000,12.05000000,9.22830284,7.74860805,0.00000000,-3.50000000
94.00000000,BACKGROUND1,M600,52.38175133,9.81992754,25.45842000,19.98381782,19.98381782,8.55000000,8.55000000,8.03519750,2.92200294,1.14300000,-3.50000000
95.00000000,BACKGROUND1,M600,52.38181054,9.81993370,27.40152000,342.54007937,342.54007937,5.05000000,5.05000000,4.81733168,-1.51519485,2.66700000,-3.50000000
96.00000000,BACKGROUND1,M600,52.38183325,9.81990554,31.36983000,313.84765275,313.84765275,1.55000000,1.55000000,1.07375199,-1.11783570,5.00000000,-3.50000000
97.00000000,BACKGROUND1,M600,52.38183515,9.81990230,36.36983000,313.84764953,313.84764953,0.00000000,0.00000000,0.00000000,-0.00000000,5.00000000,0.00000000
98.00000000,BACKGROUND1,M600,52.38183515,9.81990230,41.36983000,313.84764953,313.84764953,0.00000000,0.00000000,0.00000000,-0.00000000,5.00000000,0.00000000
99.00000000,BACKGROUND1,M600,52.38183515,9.81990230,46.36983000,313.84764953,313.84764953,0.00000000,0.00000000,0.00000000,-0.00000000,5.00000000,0.00000000
100.00000000,BACKGROUND1,M600,52.38183596,9.81990090,50.00244000,313.84764880,313.84764880,0.87500000,0.87500000,0.60615027,-0.63103633,4.54280000,3.50000000
101.00000000,BACKGROUND1,M600,52.38185286,9.81987208,50.00244000,313.84762743,313.84762743,4.37500000,4.37500000,3.03075020,-3.15518276,3.01880000,3.50000000
102.00000000,BACKGROUND1,M600,52.38188382,9.81981928,50.00244000,313.84758585,313.84758585,5.01242071,5.01242071,3.47231624,-3.61488330,1.49480000,0.00000000
103.00000000,BACKGROUND1,M600,52.38191505,9.81976602,50.00244000,313.84754364,313.84754364,5.01242071,5.01242071,3.47231358,-3.61488586,0.00000000,0.00000000
104.00000000,BACKGROUND1,M600,52.38194628,9.81971276,50.00244000,313.84750142,313.84750142,5.01242071,5.01242071,3.47231092,-3.61488842,0.00000000,0.00000000
105.00000000,BACKGROUND1,M600,52.38197750,9.81965950,50.00244000,313.84745920,313.84745920,5.01242071,5.01242071,3.47230825,-3.61489097,0.00000000,0.00000000
106.00000000,BACKGROUND1,M600,52.38200873,9.81960624,50.00244000,313.84741698,313.84741698,5.01242071,5.01242071,3.47230559,-3.61489353,0.00000000,0.00000000
107.00000000,BACKGROUND1,M600,52.38203996,9.81955298,50.00244000,313.84737476,313.84737476,5.01242071,5.01242071,3.47230293,-3.61489609,0.00000000,0.00000000
108.00000000,BACKGROUND1,M600,52.38207119,9.81949972,50.00244000,313.84733254,313.84733254,5.01242071,5.01242071,3.47230026,-3.61489865,0.00000000,0.00000000
109.00000000,BACKGROUND1,M600,52.38210241,9.81944646,50.00244000,313.84729031,313.84729031,5.01242071,5.01242071,3.47229760,-3.61490121,0.00000000,0.00000000
110.00000000,BACKGROUND1,M600,52.38213364,9.81939320,50.00244000,313.84724808,313.84724808,5.01242071,5.01242071,3.47229493,-3.61490377,0.00000000,0.00000000
111.00000000,BACKGROUND1,M600,52.38216487,9.81933994,50.00244000,313.84720585,313.84720585,5.01242071,5.01242071,3.47229227,-3.61490633,0.00000000,0.00000000
112.00000000,BACKGROUND1,M600,52.38219609,9.81928668,50.00244000,313.84716361,313.84716361,5.01242071,5.01242071,3.47228960,-3.61490889,0.00000000,0.00000000
113.00000000,BACKGROUND1,M600,52.38222732,9.81923342,50.00244000,313.84712137,313.84712137,5.01242071,5.01242071,3.47228694,-3.61491145,0.00000000,0.00000000
114.00000000,BACKGROUND1,M600,52.38225909,9.81917923,50.00244000,313.84707867,313.84707867,5.71242071,5.71242071,3.95719944,-4.11974792,0.00000000,3.50000000
115.00000000,BACKGROUND1,M600,52.38230613,9.81909901,50.00244000,313.84701644,313.84701644,9.21242071,9.21242071,6.38176821,-6.64392428,0.00000000,3.50000000
116.00000000,BACKGROUND1,M600,52.38237497,9.81898159,50.00244000,313.84692445,313.84692445,12.71242071,12.71242071,8.80632672,-9.16811049,0.00000000,3.50000000
117.00000000,BACKGROUND1,M600,52.38246561,9.81882699,50.00244000,313.84680192,313.84680192,16.21242071,16.21242071,11.23087091,-11.69231046,0.00000000,3.50000000
118.00000000,BACKGROUND1,M600,52.38257883,9.81864635,50.00244000,320.56730065,320.56730065,18.00000000,18.00000000,13.90268160,-11.43308552,0.00000000,0.00000000
119.00000000,BACKGROUND1,M600,52.38270386,9.81847790,50.00244000,320.56716699,320.56716699,18.00000000,18.00000000,13.90265492,-11.43311795,0.00000000,0.00000000
120.00000000,BACKGROUND1,M600,52.38282889,9.81830945,50.00244000,320.56703327,320.56703327,18.00000000,18.00000000,13.90262824,-11.43315040,0.00000000,0.00000000
121.00000000,BACKGROUND1,M600,52.38295392,9.81814099,50.00244000,320.56689947,320.56689947,18.00000000,18.00000000,13.90260154,-11.43318286,0.00000000,0.00000000
122.00000000,BACKGROUND1,M600,52.38307895,9.81797254,50.00244000,320.56676553,320.56676553,18.00000000,18.00000000,13.90257481,-11.43321536,0.00000000,0.00000000
123.00000000,BACKGROUND1,M600,52.38320398,9.81780408,50.00244000,320.56663127,320.56663127,18.00000000,18.00000000,13.90254802,-11.43324794,0.00000000,0.00000000
124.00000000,BACKGROUND1,M600,52.38332901,9.81763563,50.00244000,320.56649536,320.56649536,18.00000000,18.00000000,13.90252090,-11.43328092,0.00000000,0.00000000
125.00000000,BACKGROUND1,M600,52.38345371,9.81746652,50.00244000,320.33917856,320.33917856,18.00000000,18.00000000,13.85705090,-11.48834802,0.00000000,0.00000000
126.00000000,BACKGROUND1,M600,52.38357833,9.81729725,50.00244000,320.33904423,320.33904423,18.00000000,18.00000000,13.85702397,-11.48838051,0.00000000,0.00000000
127.00000000,BACKGROUND1,M600,52.38370295,9.81712798,50.00244000,320.33890983,320.33890983,18.00000000,18.00000000,13.85699702,-11.48841301,0.00000000,0.00000000
128.00000000,BACKGROUND1,M600,52.38382757,9.81695871,50.00244000,320.33877534,320.33877534,18.00000000,18.00000000,13.85697005,-11.48844554,0.00000000,0.00000000
129.00000000,BACKGROUND1,M600,52.38395218,9.81678944,50.00244000,320.33864067,320.33864067,18.00000000,18.00000000,13.85694305,-11.48847811,0.00000000,0.00000000
