# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
81.05000000,BACKGROUND1,takeoff,0
162.05000000,BACKGROUND2,takeoff,0
242.05000000,BACKGROUND3,takeoff,0
323.05000000,BACKGROUND4,takeoff,0
330.85000000,BACKGROUND2,landing,2339.15420337
433.60000000,BACKGROUND1,landing,3738.93795296
484.05000000,BACKGROUND5,takeoff,0
503.65000000,BACKGROUND4,landing,1998.18532689
541.85000000,BACKGROUND3,landing,2341.13654058
564.05000000,BACKGROUND6,takeoff,0
645.05000000,BACKGROUND7,takeoff,0
710.80000000,BACKGROUND6,landing,2014.93561479
726.05000000,BACKGROUND8,takeoff,0
741.00000000,BACKGROUND5,landing,3311.56218205
887.05000000,BACKGROUND9,takeoff,0
888.05000000,BACKGROUND7,landing,2919.61119789
967.05000000,BACKGROUND10,takeoff,0
1010.55000000,BACKGROUND9,landing,1463.94206805
1036.15000000,BACKGROUND8,landing,3499.52576274
1048.05000000,BACKGROUND11,takeoff,0
1128.05000000,BACKGROUND12,takeoff,0
1209.05000000,BACKGROUND13,takeoff,0
1321.90000000,BACKGROUND10,landing,3997.75376061
1345.75000000,BACKGROUND13,landing,2150.71464701
1370.05000000,BACKGROUND14,takeoff,0
1378.30000000,BACKGROUND12,landing,2564.15764835
1445.25000000,BACKGROUND11,landing,6107.58086119
1451.05000000,BACKGROUND15,takeoff,0
1531.05000000,BACKGROUND16,takeoff,0
1677.80000000,BACKGROUND16,landing,1681.19020980
1692.05000000,BACKGROUND17,takeoff,0
