# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
690.00000000,BACKGROUND24,BACKGROUND48,0.01858193
701.00000000,BACKGROUND24,BACKGROUND48,0.01835379
702.00000000,BACKGROUND24,BACKGROUND48,0.01836347
703.00000000,BACKGROUND24,BACKGROUND48,0.01838006
704.00000000,BACKGROUND24,BACKGROUND48,0.01840355
705.00000000,BACKGROUND24,BACKGROUND48,0.01843390
1100.00000000,BACKGROUND78,BACKGROUND84,2.89091318
1247.00000000,BACKGROUND47,BACKGROUND62,3.13138284
1549.00000000,BACKGROUND72,BACKGROUND97,0.38128113
1553.00000000,BACKGROUND62,BACKGROUND97,3.01183822
1584.00000000,BACKGROUND62,BACKGROUND97,18.17224176
1601.00000000,BACKGROUND62,BACKGROUND72,0.08234668
1603.00000000,BACKGROUND62,BACKGROUND72,5.67493336
