# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
9.05000000,BACKGROUND1,takeoff,0
17.05000000,BACKGROUND2,takeoff,0
25.05000000,BACKGROUND3,takeoff,0
41.05000000,BACKGROUND4,takeoff,0
65.05000000,BACKGROUND5,takeoff,0
73.05000000,BACKGROUND6,takeoff,0
81.05000000,BACKGROUND7,takeoff,0
89.05000000,BACKGROUND8,takeoff,0
97.05000000,BACKGROUND9,takeoff,0
105.05000000,BACKGROUND10,takeoff,0
113.05000000,BACKGROUND11,takeoff,0
121.05000000,BACKGROUND12,takeoff,0
129.05000000,BACKGROUND13,takeoff,0
137.05000000,BACKGROUND14,takeoff,0
146.05000000,BACKGROUND15,takeoff,0
154.05000000,BACKGROUND16,takeoff,0
162.05000000,BACKGROUND17,takeoff,0
170.05000000,BACKGROUND18,takeoff,0
178.05000000,BACKGROUND19,takeoff,0
186.05000000,BACKGROUND20,takeoff,0
188.00000000,BACKGROUND3,landing,1773.75570520
194.05000000,BACKGROUND21,takeoff,0
202.05000000,BACKGROUND22,takeoff,0
210.05000000,BACKGROUND23,takeoff,0
226.05000000,BACKGROUND24,takeoff,0
234.05000000,BACKGROUND25,takeoff,0
242.05000000,BACKGROUND26,takeoff,0
250.05000000,BACKGROUND27,takeoff,0
250.80000000,BACKGROUND1,landing,2317.13316856
258.05000000,BACKGROUND28,takeoff,0
266.05000000,BACKGROUND29,takeoff,0
274.05000000,BACKGROUND30,takeoff,0
282.05000000,BACKGROUND31,takeoff,0
285.70000000,BACKGROUND13,landing,2660.39840348
291.05000000,BACKGROUND32,takeoff,0
299.05000000,BACKGROUND33,takeoff,0
300.50000000,BACKGROUND5,landing,3062.72751118
307.05000000,BACKGROUND34,takeoff,0
315.05000000,BACKGROUND35,takeoff,0
317.00000000,BACKGROUND17,landing,1982.03979616
323.05000000,BACKGROUND36,takeoff,0
331.05000000,BACKGROUND37,takeoff,0
339.05000000,BACKGROUND38,takeoff,0
339.10000000,BACKGROUND18,landing,2120.31125347
347.05000000,BACKGROUND39,takeoff,0
355.05000000,BACKGROUND40,takeoff,0
371.05000000,BACKGROUND41,takeoff,0
371.45000000,BACKGROUND9,landing,3807.57126074
379.05000000,BACKGROUND42,takeoff,0
386.95000000,BACKGROUND10,landing,3767.06676618
387.05000000,BACKGROUND43,takeoff,0
395.05000000,BACKGROUND44,takeoff,0
397.20000000,BACKGROUND20,landing,3014.44530221
401.65000000,BACKGROUND6,landing,2643.76012346
403.05000000,BACKGROUND45,takeoff,0
403.35000000,BACKGROUND14,landing,4378.38706840
411.05000000,BACKGROUND46,takeoff,0
418.80000000,BACKGROUND7,landing,4879.44233422
419.05000000,BACKGROUND47,takeoff,0
428.05000000,BACKGROUND48,takeoff,0
436.05000000,BACKGROUND49,takeoff,0
441.60000000,BACKGROUND11,landing,5304.34667501
444.05000000,BACKGROUND50,takeoff,0
447.45000000,BACKGROUND29,landing,2364.42668184
452.05000000,BACKGROUND51,takeoff,0
452.75000000,BACKGROUND22,landing,4326.59130204
467.35000000,BACKGROUND25,landing,2909.46167386
468.05000000,BACKGROUND52,takeoff,0
469.45000000,BACKGROUND12,landing,4734.55416950
469.50000000,BACKGROUND21,landing,3011.97992627
476.05000000,BACKGROUND53,takeoff,0
477.65000000,BACKGROUND15,landing,3329.95572346
479.75000000,BACKGROUND2,landing,6833.03610871
492.05000000,BACKGROUND54,takeoff,0
500.05000000,BACKGROUND55,takeoff,0
508.05000000,BACKGROUND56,takeoff,0
516.05000000,BACKGROUND57,takeoff,0
524.05000000,BACKGROUND58,takeoff,0
524.45000000,BACKGROUND37,landing,2194.01162724
532.05000000,BACKGROUND59,takeoff,0
548.05000000,BACKGROUND60,takeoff,0
561.50000000,BACKGROUND26,landing,4431.37348711
564.05000000,BACKGROUND61,takeoff,0
572.60000000,BACKGROUND24,landing,4780.90317912
573.05000000,BACKGROUND62,takeoff,0
574.50000000,BACKGROUND46,landing,1945.42564171
581.05000000,BACKGROUND63,takeoff,0
589.05000000,BACKGROUND64,takeoff,0
590.80000000,BACKGROUND34,landing,2699.29635848
597.05000000,BACKGROUND65,takeoff,0
605.05000000,BACKGROUND66,takeoff,0
609.50000000,BACKGROUND23,landing,4493.67876155
612.90000000,BACKGROUND31,landing,4257.35683614
613.05000000,BACKGROUND67,takeoff,0
621.05000000,BACKGROUND68,takeoff,0
624.80000000,BACKGROUND4,landing,6261.18091466
629.05000000,BACKGROUND69,takeoff,0
631.25000000,BACKGROUND41,landing,3965.67526840
637.05000000,BACKGROUND70,takeoff,0
644.60000000,BACKGROUND39,landing,2957.08120762
645.05000000,BACKGROUND71,takeoff,0
653.05000000,BACKGROUND72,takeoff,0
657.85000000,BACKGROUND19,landing,5381.47313549
667.40000000,BACKGROUND40,landing,4376.05695271
669.05000000,BACKGROUND73,takeoff,0
674.40000000,BACKGROUND36,landing,4544.57325343
677.05000000,BACKGROUND65,landing,1173.13423281
685.05000000,BACKGROUND74,takeoff,0
685.90000000,BACKGROUND51,landing,3208.37525054
693.05000000,BACKGROUND75,takeoff,0
697.10000000,BACKGROUND38,landing,5217.65533202
701.05000000,BACKGROUND76,takeoff,0
704.30000000,BACKGROUND43,landing,4622.18451217
706.55000000,BACKGROUND42,landing,4869.25559357
709.15000000,BACKGROUND61,landing,1909.65326064
710.05000000,BACKGROUND77,takeoff,0
716.70000000,BACKGROUND44,landing,3215.73531715
716.95000000,BACKGROUND56,landing,2777.07842470
718.05000000,BACKGROUND78,takeoff,0
719.30000000,BACKGROUND55,landing,2794.61138560
734.05000000,BACKGROUND79,takeoff,0
