# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
171.00000000,BACKGROUND4,BACKGROUND6,start
182.00000000,BACKGROUND4,BACKGROUND6,end
245.00000000,BACKGROUND12,BACKGROUND20,start
251.00000000,BACKGROUND12,BACKGROUND20,end
255.00000000,BACKGROUND18,BACKGROUND22,start
266.00000000,BACKGROUND18,BACKGROUND22,end
324.00000000,BACKGROUND23,BACKGROUND27,start
337.00000000,BACKGROUND23,BACKGROUND27,end
400.00000000,BACKGROUND25,BACKGROUND8,start
410.00000000,BACKGROUND25,BACKGROUND8,end
421.00000000,BACKGROUND23,BACKGROUND42,start
433.00000000,BACKGROUND23,BACKGROUND42,end
536.00000000,BACKGROUND36,BACKGROUND38,start
543.00000000,BACKGROUND36,BACKGROUND38,end
546.00000000,BACKGROUND31,BACKGROUND40,start
555.00000000,BACKGROUND31,BACKGROUND40,end
602.00000000,BACKGROUND40,BACKGROUND47,start
611.00000000,BACKGROUND54,BACKGROUND60,start
614.00000000,BACKGROUND40,BACKGROUND47,end
621.00000000,BACKGROUND39,BACKGROUND58,start
621.00000000,BACKGROUND54,BACKGROUND60,end
632.00000000,BACKGROUND39,BACKGROUND58,end
674.00000000,BACKGROUND40,BACKGROUND67,start
681.00000000,BACKGROUND40,BACKGROUND67,end
708.00000000,BACKGROUND52,BACKGROUND64,start
710.00000000,BACKGROUND52,BACKGROUND64,end
760.00000000,BACKGROUND52,BACKGROUND56,start
761.00000000,BACKGROUND52,BACKGROUND56,end
783.00000000,BACKGROUND52,BACKGROUND68,start
784.00000000,BACKGROUND56,BACKGROUND68,start
790.00000000,BACKGROUND76,BACKGROUND77,start
791.00000000,BACKGROUND52,BACKGROUND68,end
791.00000000,BACKGROUND76,BACKGROUND77,end
792.00000000,BACKGROUND56,BACKGROUND68,end
829.00000000,BACKGROUND56,BACKGROUND73,start
839.00000000,BACKGROUND56,BACKGROUND73,end
898.00000000,BACKGROUND52,BACKGROUND56,start
904.00000000,BACKGROUND52,BACKGROUND56,end
906.00000000,BACKGROUND82,BACKGROUND92,start
907.00000000,BACKGROUND82,BACKGROUND92,end
921.00000000,BACKGROUND70,BACKGROUND93,start
922.00000000,BACKGROUND70,BACKGROUND93,end
962.00000000,BACKGROUND78,BACKGROUND82,start
973.00000000,BACKGROUND78,BACKGROUND82,end
1028.00000000,BACKGROUND86,BACKGROUND98,start
1029.00000000,BACKGROUND86,BACKGROUND98,end
1132.00000000,BACKGROUND105,BACKGROUND108,start
1133.00000000,BACKGROUND105,BACKGROUND108,end
1134.00000000,BACKGROUND105,BACKGROUND108,start
1135.00000000,BACKGROUND105,BACKGROUND108,end
1170.00000000,BACKGROUND107,BACKGROUND108,start
1177.00000000,BACKGROUND107,BACKGROUND108,end
1184.00000000,BACKGROUND105,BACKGROUND117,start
1185.00000000,BACKGROUND105,BACKGROUND117,end
1191.00000000,BACKGROUND105,BACKGROUND108,start
1192.00000000,BACKGROUND105,BACKGROUND108,end
1196.00000000,BACKGROUND98,BACKGROUND99,start
1196.00000000,BACKGROUND117,BACKGROUND93,start
1197.00000000,BACKGROUND108,BACKGROUND93,start
1204.00000000,BACKGROUND117,BACKGROUND93,end
1207.00000000,BACKGROUND108,BACKGROUND93,end
1209.00000000,BACKGROUND105,BACKGROUND120,start
1210.00000000,BACKGROUND105,BACKGROUND120,end
1212.00000000,BACKGROUND108,BACKGROUND117,start
1217.00000000,BACKGROUND105,BACKGROUND120,start
1218.00000000,BACKGROUND105,BACKGROUND120,end
1251.00000000,BACKGROUND111,BACKGROUND124,start
1252.00000000,BACKGROUND108,BACKGROUND117,end
1269.00000000,BACKGROUND111,BACKGROUND124,end
1280.00000000,BACKGROUND111,BACKGROUND124,start
1284.00000000,BACKGROUND124,BACKGROUND129,start
1287.00000000,BACKGROUND124,BACKGROUND129,end
