# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
181.00000000,BACKGROUND4,BACKGROUND6,23.89318686
265.00000000,BACKGROUND18,BACKGROUND22,0.50892964
335.00000000,BACKGROUND23,BACKGROUND27,7.33118116
409.00000000,BACKGROUND25,BACKGROUND8,24.07626542
431.00000000,BACKGROUND23,BACKGROUND42,2.15385240
542.00000000,BACKGROUND36,BACKGROUND38,19.89315483
613.00000000,BACKGROUND40,BACKGROUND47,21.37474455
631.00000000,BACKGROUND39,BACKGROUND58,35.94713701
679.00000000,BACKGROUND40,BACKGROUND67,22.89308326
680.00000000,BACKGROUND40,BACKGROUND67,23.82079878
790.00000000,BACKGROUND52,BACKGROUND68,14.21821832
838.00000000,BACKGROUND56,BACKGROUND73,10.58542889
972.00000000,BACKGROUND78,BACKGROUND82,35.76172291
1266.00000000,BACKGROUND111,BACKGROUND124,2.60342189
1286.00000000,BACKGROUND124,BACKGROUND129,19.38682448
1341.00000000,BACKGROUND108,BACKGROUND123,24.83451010
1350.00000000,BACKGROUND119,BACKGROUND121,18.64996001
1360.00000000,BACKGROUND110,BACKGROUND119,11.32145941
1415.00000000,BACKGROUND98,BACKGROUND99,34.93550550
1426.00000000,BACKGROUND111,BACKGROUND124,34.34783414
1510.00000000,BACKGROUND138,BACKGROUND140,37.02763719
1514.00000000,BACKGROUND129,BACKGROUND152,0.60894002
1709.00000000,BACKGROUND159,BACKGROUND166,14.75949553
