# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
323.00000000,BACKGROUND14,BACKGROUND21,start
325.00000000,BACKGROUND14,BACKGROUND21,end
465.00000000,BACKGROUND25,BACKGROUND6,start
468.00000000,BACKGROUND25,BACKGROUND6,end
526.00000000,BACKGROUND1,BACKGROUND26,start
530.00000000,BACKGROUND1,BACKGROUND26,end
562.00000000,BACKGROUND22,BACKGROUND38,start
566.00000000,BACKGROUND22,BACKGROUND38,end
611.00000000,BACKGROUND24,BACKGROUND35,start
613.00000000,BACKGROUND24,BACKGROUND35,end
650.00000000,BACKGROUND34,BACKGROUND68,start
652.00000000,BACKGROUND34,BACKGROUND68,end
690.00000000,BACKGROUND22,BACKGROUND38,start
691.00000000,BACKGROUND22,BACKGROUND38,end
825.00000000,BACKGROUND53,BACKGROUND74,start
826.00000000,BACKGROUND53,BACKGROUND74,end
847.00000000,BACKGROUND38,BACKGROUND72,start
933.00000000,BACKGROUND77,BACKGROUND96,start
937.00000000,BACKGROUND65,BACKGROUND76,start
938.00000000,BACKGROUND77,BACKGROUND96,end
941.00000000,BACKGROUND65,BACKGROUND76,end
1052.00000000,BACKGROUND63,BACKGROUND84,start
1054.00000000,BACKGROUND63,BACKGROUND84,end
1106.00000000,BACKGROUND71,BACKGROUND85,start
1110.00000000,BACKGROUND71,BACKGROUND85,end
1152.00000000,BACKGROUND110,BACKGROUND88,start
1154.00000000,BACKGROUND110,BACKGROUND88,end
1260.00000000,BACKGROUND38,BACKGROUND72,end
1306.00000000,BACKGROUND100,BACKGROUND101,start
1312.00000000,BACKGROUND100,BACKGROUND101,end
1407.00000000,BACKGROUND100,BACKGROUND90,start
1410.00000000,BACKGROUND100,BACKGROUND90,end
1456.00000000,BACKGROUND100,BACKGROUND111,start
1458.00000000,BACKGROUND100,BACKGROUND111,end
