# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
710.00000000,BACKGROUND17,BACKGROUND46,start
711.00000000,BACKGROUND17,BACKGROUND46,end
729.00000000,BACKGROUND37,BACKGROUND61,start
731.00000000,BACKGROUND37,BACKGROUND61,end
891.00000000,BACKGROUND21,BACKGROUND49,start
894.00000000,BACKGROUND21,BACKGROUND49,end
903.00000000,BACKGROUND21,BACKGROUND49,start
904.00000000,BACKGROUND21,BACKGROUND49,end
905.00000000,BACKGROUND21,BACKGROUND49,start
909.00000000,BACKGROUND21,BACKGROUND49,end
951.00000000,BACKGROUND41,BACKGROUND91,start
953.00000000,BACKGROUND41,BACKGROUND91,end
1203.00000000,BACKGROUND83,BACKGROUND86,start
1204.00000000,BACKGROUND83,BACKGROUND86,end
1208.00000000,BACKGROUND105,BACKGROUND93,start
1208.00000000,BACKGROUND83,BACKGROUND86,start
1210.00000000,BACKGROUND105,BACKGROUND93,end
1213.00000000,BACKGROUND83,BACKGROUND86,end
1315.00000000,BACKGROUND115,BACKGROUND123,start
1321.00000000,BACKGROUND115,BACKGROUND123,end
1335.00000000,BACKGROUND105,BACKGROUND133,start
1337.00000000,BACKGROUND105,BACKGROUND133,end
1338.00000000,BACKGROUND105,BACKGROUND133,start
1339.00000000,BACKGROUND105,BACKGROUND133,end
1375.00000000,BACKGROUND129,BACKGROUND139,start
1378.00000000,BACKGROUND129,BACKGROUND139,end
1379.00000000,BACKGROUND129,BACKGROUND139,start
1380.00000000,BACKGROUND129,BACKGROUND139,end
1387.00000000,BACKGROUND115,BACKGROUND123,start
1389.00000000,BACKGROUND115,BACKGROUND123,end
1395.00000000,BACKGROUND115,BACKGROUND123,start
1401.00000000,BACKGROUND115,BACKGROUND123,end
1418.00000000,BACKGROUND129,BACKGROUND139,start
1424.00000000,BACKGROUND129,BACKGROUND139,end
1457.00000000,BACKGROUND107,BACKGROUND119,start
1460.00000000,BACKGROUND107,BACKGROUND119,end
1503.00000000,BACKGROUND123,BACKGROUND139,start
1507.00000000,BACKGROUND123,BACKGROUND139,end
1509.00000000,BACKGROUND123,BACKGROUND139,start
1512.00000000,BACKGROUND123,BACKGROUND139,end
1653.00000000,BACKGROUND110,BACKGROUND133,start
1656.00000000,BACKGROUND110,BACKGROUND133,end
1744.00000000,BACKGROUND129,BACKGROUND146,start
1753.00000000,BACKGROUND129,BACKGROUND146,end
