# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
17.05000000,BACKGROUND1,takeoff,0
25.05000000,BACKGROUND2,takeoff,0
33.05000000,BACKGROUND3,takeoff,0
41.05000000,BACKGROUND4,takeoff,0
89.05000000,BACKGROUND9,takeoff,0
105.05000000,BACKGROUND11,takeoff,0
113.05000000,BACKGROUND12,takeoff,0
141.05000000,BACKGROUND8,takeoff,0
146.05000000,BACKGROUND16,takeoff,0
170.05000000,BACKGROUND19,takeoff,0
229.05000000,BACKGROUND5,takeoff,0
237.05000000,BACKGROUND6,takeoff,0
238.05000000,BACKGROUND20,takeoff,0
241.05000000,BACKGROUND13,takeoff,0
253.05000000,BACKGROUND7,takeoff,0
262.05000000,BACKGROUND22,takeoff,0
286.05000000,BACKGROUND25,takeoff,0
286.10000000,BACKGROUND11,landing,2974.85344761
300.05000000,BACKGROUND10,takeoff,0
300.05000000,BACKGROUND14,takeoff,0
300.05000000,BACKGROUND17,takeoff,0
300.05000000,BACKGROUND24,takeoff,0
300.65000000,BACKGROUND5,landing,1087.41090912
300.65000000,BACKGROUND5,takeoff,0
300.70000000,BACKGROUND13,landing,177.02441687
300.70000000,BACKGROUND13,takeoff,0
301.85000000,BACKGROUND22,landing,162.98484974
301.85000000,BACKGROUND22,takeoff,0
302.55000000,BACKGROUND9,landing,3640.69159944
302.55000000,BACKGROUND9,takeoff,0
302.70000000,BACKGROUND19,landing,1722.74051648
302.70000000,BACKGROUND19,takeoff,0
303.60000000,BACKGROUND20,landing,853.22639377
303.60000000,BACKGROUND20,takeoff,0
304.20000000,BACKGROUND12,landing,2213.22530147
304.20000000,BACKGROUND12,takeoff,0
304.90000000,BACKGROUND6,landing,824.60902594
304.90000000,BACKGROUND6,takeoff,0
314.00000000,BACKGROUND25,landing,137.66278089
314.00000000,BACKGROUND25,takeoff,0
315.05000000,BACKGROUND34,takeoff,0
315.05000000,BACKGROUND7,landing,830.24897832
315.05000000,BACKGROUND7,takeoff,0
315.15000000,BACKGROUND16,landing,1228.84008944
315.15000000,BACKGROUND16,takeoff,0
315.40000000,BACKGROUND3,landing,4181.69813244
317.90000000,BACKGROUND4,landing,2889.14815502
317.90000000,BACKGROUND4,takeoff,0
320.00000000,BACKGROUND8,landing,1913.00085138
320.00000000,BACKGROUND8,takeoff,0
339.05000000,BACKGROUND37,takeoff,0
342.05000000,BACKGROUND30,takeoff,0
356.80000000,BACKGROUND9,landing,581.96880309
359.65000000,BACKGROUND2,landing,3768.52600530
369.10000000,BACKGROUND12,landing,378.78863757
378.05000000,BACKGROUND29,takeoff,0
390.15000000,BACKGROUND7,landing,1152.16519687
397.35000000,BACKGROUND1,landing,4763.44548329
411.05000000,BACKGROUND31,takeoff,0
411.05000000,BACKGROUND45,takeoff,0
414.05000000,BACKGROUND26,takeoff,0
437.05000000,BACKGROUND15,takeoff,0
447.05000000,BACKGROUND43,takeoff,0
448.85000000,BACKGROUND25,landing,1572.88772198
452.45000000,BACKGROUND14,landing,2845.07092131
467.05000000,BACKGROUND38,takeoff,0
476.00000000,BACKGROUND20,landing,1216.19475441
487.05000000,BACKGROUND33,takeoff,0
