# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
359.00000000,BACKGROUND23,BACKGROUND35,start
361.00000000,BACKGROUND23,BACKGROUND35,end
383.00000000,BACKGROUND16,BACKGROUND26,start
384.00000000,BACKGROUND16,BACKGROUND26,end
682.00000000,BACKGROUND52,BACKGROUND67,start
685.00000000,BACKGROUND52,BACKGROUND67,end
797.00000000,BACKGROUND70,BACKGROUND78,start
799.00000000,BACKGROUND70,BACKGROUND78,end
887.00000000,BACKGROUND77,BACKGROUND86,start
888.00000000,BACKGROUND77,BACKGROUND86,end
985.00000000,BACKGROUND6,BACKGROUND82,start
988.00000000,BACKGROUND6,BACKGROUND82,end
1033.00000000,BACKGROUND77,BACKGROUND83,start
1036.00000000,BACKGROUND77,BACKGROUND83,end
1052.00000000,BACKGROUND95,BACKGROUND97,start
1055.00000000,BACKGROUND95,BACKGROUND97,end
1095.00000000,BACKGROUND102,BACKGROUND78,start
1098.00000000,BACKGROUND102,BACKGROUND78,end
1194.00000000,BACKGROUND110,BACKGROUND82,start
1195.00000000,BACKGROUND110,BACKGROUND82,end
1213.00000000,BACKGROUND116,BACKGROUND94,start
1215.00000000,BACKGROUND116,BACKGROUND94,end
1365.00000000,BACKGROUND131,BACKGROUND134,start
1390.00000000,BACKGROUND131,BACKGROUND134,end
1428.00000000,BACKGROUND131,BACKGROUND134,start
1429.00000000,BACKGROUND131,BACKGROUND134,end
1695.00000000,BACKGROUND165,BACKGROUND169,start
1697.00000000,BACKGROUND165,BACKGROUND169,end
