# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
67.00000000,BACKGROUND2,BACKGROUND4,start
71.00000000,BACKGROUND2,BACKGROUND4,end
263.00000000,BACKGROUND16,BACKGROUND5,start
264.00000000,BACKGROUND16,BACKGROUND5,end
274.00000000,BACKGROUND3,BACKGROUND5,start
278.00000000,BACKGROUND17,BACKGROUND20,start
284.00000000,BACKGROUND3,BACKGROUND5,end
288.00000000,BACKGROUND17,BACKGROUND20,end
294.00000000,BACKGROUND12,BACKGROUND24,start
296.00000000,BACKGROUND12,BACKGROUND24,end
314.00000000,BACKGROUND25,BACKGROUND9,start
319.00000000,BACKGROUND25,BACKGROUND9,end
379.00000000,BACKGROUND26,BACKGROUND27,start
389.00000000,BACKGROUND26,BACKGROUND27,end
400.00000000,BACKGROUND26,BACKGROUND29,start
408.00000000,BACKGROUND26,BACKGROUND29,end
458.00000000,BACKGROUND37,BACKGROUND41,start
469.00000000,BACKGROUND37,BACKGROUND41,end
644.00000000,BACKGROUND43,BACKGROUND55,start
653.00000000,BACKGROUND43,BACKGROUND55,end
662.00000000,BACKGROUND40,BACKGROUND56,start
671.00000000,BACKGROUND40,BACKGROUND56,end
722.00000000,BACKGROUND64,BACKGROUND74,start
731.00000000,BACKGROUND71,BACKGROUND73,start
738.00000000,BACKGROUND71,BACKGROUND73,end
756.00000000,BACKGROUND64,BACKGROUND74,end
837.00000000,BACKGROUND64,BACKGROUND74,start
901.00000000,BACKGROUND54,BACKGROUND76,start
902.00000000,BACKGROUND54,BACKGROUND76,end
910.00000000,BACKGROUND54,BACKGROUND76,start
917.00000000,BACKGROUND54,BACKGROUND76,end
919.00000000,BACKGROUND54,BACKGROUND76,start
920.00000000,BACKGROUND54,BACKGROUND76,end
929.00000000,BACKGROUND54,BACKGROUND76,start
931.00000000,BACKGROUND54,BACKGROUND76,end
1042.00000000,BACKGROUND64,BACKGROUND74,end
1081.00000000,BACKGROUND106,BACKGROUND56,start
1086.00000000,BACKGROUND106,BACKGROUND56,end
1122.00000000,BACKGROUND105,BACKGROUND115,start
1124.00000000,BACKGROUND57,BACKGROUND99,start
1127.00000000,BACKGROUND57,BACKGROUND99,end
1135.00000000,BACKGROUND105,BACKGROUND115,end
1188.00000000,BACKGROUND107,BACKGROUND118,start
1192.00000000,BACKGROUND107,BACKGROUND118,end
1299.00000000,BACKGROUND128,BACKGROUND133,start
1303.00000000,BACKGROUND112,BACKGROUND120,start
1303.00000000,BACKGROUND128,BACKGROUND133,end
1336.00000000,BACKGROUND112,BACKGROUND120,end
1338.00000000,BACKGROUND112,BACKGROUND120,start
1354.00000000,BACKGROUND112,BACKGROUND120,end
1389.00000000,BACKGROUND112,BACKGROUND120,start
1393.00000000,BACKGROUND112,BACKGROUND120,end
1398.00000000,BACKGROUND112,BACKGROUND120,start
1399.00000000,BACKGROUND112,BACKGROUND120,end
1422.00000000,BACKGROUND112,BACKGROUND120,start
1424.00000000,BACKGROUND112,BACKGROUND120,end
1467.00000000,BACKGROUND127,BACKGROUND146,start
1480.00000000,BACKGROUND127,BACKGROUND146,end
1594.00000000,BACKGROUND147,BACKGROUND158,start
1595.00000000,BACKGROUND153,BACKGROUND155,start
1604.00000000,BACKGROUND153,BACKGROUND155,end
1604.00000000,BACKGROUND147,BACKGROUND158,end
1649.00000000,BACKGROUND107,BACKGROUND152,start
1650.00000000,BACKGROUND107,BACKGROUND152,end
1727.00000000,BACKGROUND156,BACKGROUND175,start
1729.00000000,BACKGROUND156,BACKGROUND175,end
1769.00000000,BACKGROUND162,BACKGROUND174,start
1771.00000000,BACKGROUND162,BACKGROUND174,end
1781.00000000,BACKGROUND154,BACKGROUND159,start
1782.00000000,BACKGROUND162,BACKGROUND174,start
1782.00000000,BACKGROUND154,BACKGROUND159,end
