# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
9.05000000,BACKGROUND1,takeoff,0
17.05000000,BACKGROUND2,takeoff,0
25.05000000,BACKGROUND3,takeoff,0
33.05000000,BACKGROUND4,takeoff,0
41.05000000,BACKGROUND5,takeoff,0
49.05000000,BACKGROUND6,takeoff,0
57.05000000,BACKGROUND7,takeoff,0
65.05000000,BACKGROUND8,takeoff,0
73.05000000,BACKGROUND9,takeoff,0
81.05000000,BACKGROUND10,takeoff,0
89.05000000,BACKGROUND11,takeoff,0
97.05000000,BACKGROUND12,takeoff,0
105.05000000,BACKGROUND13,takeoff,0
113.05000000,BACKGROUND14,takeoff,0
129.05000000,BACKGROUND15,takeoff,0
137.05000000,BACKGROUND16,takeoff,0
146.05000000,BACKGROUND17,takeoff,0
146.70000000,BACKGROUND4,landing,1154.59509752
154.05000000,BACKGROUND18,takeoff,0
162.05000000,BACKGROUND19,takeoff,0
170.05000000,BACKGROUND20,takeoff,0
178.05000000,BACKGROUND21,takeoff,0
186.05000000,BACKGROUND22,takeoff,0
202.05000000,BACKGROUND23,takeoff,0
210.05000000,BACKGROUND24,takeoff,0
218.05000000,BACKGROUND25,takeoff,0
226.05000000,BACKGROUND26,takeoff,0
234.05000000,BACKGROUND27,takeoff,0
242.05000000,BACKGROUND28,takeoff,0
250.05000000,BACKGROUND29,takeoff,0
252.05000000,BACKGROUND1,landing,2847.60311044
258.05000000,BACKGROUND30,takeoff,0
265.15000000,BACKGROUND5,landing,3480.53449707
266.05000000,BACKGROUND31,takeoff,0
274.05000000,BACKGROUND32,takeoff,0
291.05000000,BACKGROUND33,takeoff,0
299.05000000,BACKGROUND34,takeoff,0
303.50000000,BACKGROUND19,landing,1335.25753187
307.05000000,BACKGROUND35,takeoff,0
315.05000000,BACKGROUND36,takeoff,0
315.25000000,BACKGROUND8,landing,3299.77350182
317.50000000,BACKGROUND2,landing,2708.60813451
320.80000000,BACKGROUND15,landing,2339.99700977
323.05000000,BACKGROUND37,takeoff,0
329.90000000,BACKGROUND3,landing,4081.30819075
331.05000000,BACKGROUND38,takeoff,0
339.05000000,BACKGROUND39,takeoff,0
347.05000000,BACKGROUND40,takeoff,0
356.80000000,BACKGROUND11,landing,3992.66566984
360.75000000,BACKGROUND6,landing,5510.05093070
362.05000000,BACKGROUND7,landing,4122.92088991
363.05000000,BACKGROUND41,takeoff,0
369.45000000,BACKGROUND9,landing,4698.38115053
371.05000000,BACKGROUND42,takeoff,0
379.05000000,BACKGROUND43,takeoff,0
387.05000000,BACKGROUND44,takeoff,0
393.10000000,BACKGROUND13,landing,4258.01649980
397.70000000,BACKGROUND10,landing,3628.53362038
403.05000000,BACKGROUND45,takeoff,0
417.70000000,BACKGROUND16,landing,4230.98682836
428.05000000,BACKGROUND46,takeoff,0
430.75000000,BACKGROUND22,landing,3345.76150927
431.05000000,BACKGROUND25,landing,3008.22062716
435.80000000,BACKGROUND20,landing,1766.43276646
436.05000000,BACKGROUND47,takeoff,0
442.45000000,BACKGROUND17,landing,3681.51420759
444.05000000,BACKGROUND48,takeoff,0
445.15000000,BACKGROUND21,landing,4120.72042971
452.05000000,BACKGROUND49,takeoff,0
460.05000000,BACKGROUND50,takeoff,0
467.35000000,BACKGROUND39,landing,1524.36163737
468.05000000,BACKGROUND51,takeoff,0
473.20000000,BACKGROUND33,landing,2253.30642801
476.05000000,BACKGROUND52,takeoff,0
478.55000000,BACKGROUND18,landing,4400.51568569
479.90000000,BACKGROUND27,landing,3646.08350741
483.65000000,BACKGROUND12,landing,2213.11205449
484.05000000,BACKGROUND53,takeoff,0
492.05000000,BACKGROUND54,takeoff,0
500.05000000,BACKGROUND55,takeoff,0
507.15000000,BACKGROUND34,landing,2963.47124957
508.05000000,BACKGROUND56,takeoff,0
516.05000000,BACKGROUND57,takeoff,0
524.05000000,BACKGROUND58,takeoff,0
532.05000000,BACKGROUND59,takeoff,0
538.15000000,BACKGROUND36,landing,3178.85652360
539.70000000,BACKGROUND32,landing,3938.37982865
540.05000000,BACKGROUND60,takeoff,0
541.05000000,BACKGROUND26,landing,3939.49206666
541.65000000,BACKGROUND14,landing,5549.27462150
544.45000000,BACKGROUND37,landing,2428.45755933
548.05000000,BACKGROUND61,takeoff,0
556.05000000,BACKGROUND62,takeoff,0
563.35000000,BACKGROUND35,landing,4137.66043501
564.05000000,BACKGROUND63,takeoff,0
581.05000000,BACKGROUND64,takeoff,0
585.55000000,BACKGROUND31,landing,4427.50317395
589.05000000,BACKGROUND65,takeoff,0
605.05000000,BACKGROUND66,takeoff,0
613.05000000,BACKGROUND67,takeoff,0
613.20000000,BACKGROUND41,landing,2535.45556758
621.05000000,BACKGROUND68,takeoff,0
623.05000000,BACKGROUND24,landing,5912.51882317
629.05000000,BACKGROUND69,takeoff,0
640.30000000,BACKGROUND40,landing,3093.00203817
645.05000000,BACKGROUND70,takeoff,0
653.05000000,BACKGROUND71,takeoff,0
666.25000000,BACKGROUND46,landing,3552.79136386
669.05000000,BACKGROUND73,takeoff,0
677.00000000,BACKGROUND47,landing,3295.58222796
677.05000000,BACKGROUND74,takeoff,0
685.05000000,BACKGROUND75,takeoff,0
688.60000000,BACKGROUND29,landing,6441.03546928
693.05000000,BACKGROUND76,takeoff,0
701.05000000,BACKGROUND77,takeoff,0
703.05000000,BACKGROUND60,landing,2853.65342444
705.95000000,BACKGROUND49,landing,2248.02762918
706.35000000,BACKGROUND56,landing,2230.72617391
709.40000000,BACKGROUND30,landing,2668.83104825
710.05000000,BACKGROUND78,takeoff,0
714.00000000,BACKGROUND58,landing,2235.47179542
