# CONFLICTS LOG
# Start and end of all conflicts
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
852.00000000,BACKGROUND33,BACKGROUND40,start
853.00000000,BACKGROUND33,BACKGROUND40,end
858.00000000,BACKGROUND31,BACKGROUND40,start
863.00000000,BACKGROUND31,BACKGROUND40,end
936.00000000,BACKGROUND62,BACKGROUND72,start
942.00000000,BACKGROUND62,BACKGROUND72,end
947.00000000,BACKGROUND40,BACKGROUND41,start
950.00000000,BACKGROUND40,BACKGROUND41,end
968.00000000,BACKGROUND40,BACKGROUND41,start
969.00000000,BACKGROUND40,BACKGROUND41,end
978.00000000,BACKGROUND40,BACKGROUND41,start
983.00000000,BACKGROUND40,BACKGROUND41,end
1075.00000000,BACKGROUND23,BACKGROUND30,start
1089.00000000,BACKGROUND23,BACKGROUND30,end
