# FLIGHT LOG
# Takeoff, landing, and distance flown of each UAS.
# 
# Simulation Time [s], UAS, Takeoff/Landing, Distance [m]
# simt
9.05000000,BACKGROUND1,takeoff,0
17.05000000,BACKGROUND2,takeoff,0
25.05000000,BACKGROUND3,takeoff,0
33.05000000,BACKGROUND4,takeoff,0
41.05000000,BACKGROUND5,takeoff,0
73.05000000,BACKGROUND6,takeoff,0
81.05000000,BACKGROUND7,takeoff,0
129.05000000,BACKGROUND13,takeoff,0
167.45000000,BACKGROUND5,landing,1618.85179136
173.05000000,BACKGROUND11,takeoff,0
178.05000000,BACKGROUND19,takeoff,0
197.05000000,BACKGROUND14,takeoff,0
230.05000000,BACKGROUND18,takeoff,0
242.05000000,BACKGROUND26,takeoff,0
269.05000000,BACKGROUND8,takeoff,0
274.05000000,BACKGROUND29,takeoff,0
278.05000000,BACKGROUND23,takeoff,0
282.05000000,BACKGROUND30,takeoff,0
300.05000000,BACKGROUND9,takeoff,0
300.05000000,BACKGROUND10,takeoff,0
300.05000000,BACKGROUND12,takeoff,0
300.05000000,BACKGROUND20,takeoff,0
300.05000000,BACKGROUND21,takeoff,0
300.20000000,BACKGROUND19,landing,1299.34146314
300.20000000,BACKGROUND19,takeoff,0
300.45000000,BACKGROUND18,landing,1151.13467655
300.45000000,BACKGROUND18,takeoff,0
301.00000000,BACKGROUND26,landing,311.74629281
301.00000000,BACKGROUND26,takeoff,0
301.20000000,BACKGROUND23,landing,224.46913369
301.20000000,BACKGROUND23,takeoff,0
301.85000000,BACKGROUND30,landing,145.58752044
301.85000000,BACKGROUND30,takeoff,0
302.55000000,BACKGROUND8,landing,379.61522239
302.55000000,BACKGROUND8,takeoff,0
303.00000000,BACKGROUND13,landing,3060.67874428
303.00000000,BACKGROUND13,takeoff,0
303.25000000,BACKGROUND11,landing,1630.83495299
303.25000000,BACKGROUND11,takeoff,0
303.95000000,BACKGROUND4,landing,3906.10137571
304.95000000,BACKGROUND14,landing,1340.47153635
304.95000000,BACKGROUND14,takeoff,0
305.15000000,BACKGROUND7,landing,1977.09390998
313.10000000,BACKGROUND6,landing,1093.62331627
313.10000000,BACKGROUND6,takeoff,0
313.95000000,BACKGROUND3,landing,3474.46109563
313.95000000,BACKGROUND3,takeoff,0
315.05000000,BACKGROUND34,takeoff,0
319.55000000,BACKGROUND1,landing,2882.70096612
319.55000000,BACKGROUND1,takeoff,0
341.60000000,BACKGROUND3,landing,361.77143547
347.05000000,BACKGROUND37,takeoff,0
348.75000000,BACKGROUND29,landing,577.75051113
348.75000000,BACKGROUND29,takeoff,0
354.05000000,BACKGROUND25,takeoff,0
355.05000000,BACKGROUND38,takeoff,0
363.05000000,BACKGROUND39,takeoff,0
367.05000000,BACKGROUND33,takeoff,0
394.05000000,BACKGROUND16,takeoff,0
396.95000000,BACKGROUND11,landing,1776.09437148
411.05000000,BACKGROUND31,takeoff,0
412.75000000,BACKGROUND14,landing,1181.33866654
414.35000000,BACKGROUND8,landing,1963.54625000
419.05000000,BACKGROUND32,takeoff,0
425.25000000,BACKGROUND2,landing,5140.66763263
444.05000000,BACKGROUND47,takeoff,0
450.05000000,BACKGROUND22,takeoff,0
454.55000000,BACKGROUND9,landing,1896.43383334
463.20000000,BACKGROUND37,landing,1746.28406339
468.05000000,BACKGROUND49,takeoff,0
479.05000000,BACKGROUND44,takeoff,0
481.15000000,BACKGROUND13,landing,1599.75429787
492.05000000,BACKGROUND52,takeoff,0
500.50000000,BACKGROUND10,landing,3295.10722583
509.80000000,BACKGROUND19,landing,3707.78629541
509.80000000,BACKGROUND20,landing,2932.12958702
512.05000000,BACKGROUND48,takeoff,0
523.05000000,BACKGROUND42,takeoff,0
524.05000000,BACKGROUND56,takeoff,0
526.05000000,BACKGROUND24,takeoff,0
544.05000000,BACKGROUND51,takeoff,0
548.05000000,BACKGROUND45,takeoff,0
560.05000000,BACKGROUND53,takeoff,0
567.20000000,BACKGROUND23,landing,3689.39320844
583.65000000,BACKGROUND21,landing,3682.96104571
589.00000000,BACKGROUND12,landing,1703.54803520
589.05000000,BACKGROUND61,takeoff,0
600.05000000,BACKGROUND15,takeoff,0
600.05000000,BACKGROUND27,takeoff,0
600.05000000,BACKGROUND28,takeoff,0
600.05000000,BACKGROUND36,takeoff,0
600.05000000,BACKGROUND35,takeoff,0
600.05000000,BACKGROUND41,takeoff,0
600.05000000,BACKGROUND43,takeoff,0
600.05000000,BACKGROUND50,takeoff,0
600.05000000,BACKGROUND46,takeoff,0
600.05000000,BACKGROUND55,takeoff,0
600.05000000,BACKGROUND57,takeoff,0
601.05000000,BACKGROUND51,landing,486.12040143
601.05000000,BACKGROUND51,takeoff,0
601.75000000,BACKGROUND56,landing,180.23765477
601.75000000,BACKGROUND56,takeoff,0
601.85000000,BACKGROUND53,landing,679.95071839
601.85000000,BACKGROUND53,takeoff,0
602.05000000,BACKGROUND39,landing,3108.22913860
602.05000000,BACKGROUND39,takeoff,0
602.40000000,BACKGROUND32,landing,2838.63867601
602.40000000,BACKGROUND32,takeoff,0
603.30000000,BACKGROUND48,landing,1175.45040805
603.30000000,BACKGROUND48,takeoff,0
603.95000000,BACKGROUND33,landing,3926.24266426
603.95000000,BACKGROUND33,takeoff,0
604.15000000,BACKGROUND45,landing,240.98777358
604.15000000,BACKGROUND45,takeoff,0
605.95000000,BACKGROUND61,landing,155.89885890
605.95000000,BACKGROUND61,takeoff,0
606.35000000,BACKGROUND26,landing,4131.19515334
606.35000000,BACKGROUND26,takeoff,0
606.95000000,BACKGROUND42,landing,1110.66965874
606.95000000,BACKGROUND42,takeoff,0
608.35000000,BACKGROUND29,landing,3466.81449965
608.35000000,BACKGROUND29,takeoff,0
