# CLOSEST POINT OF APPROACH LOG
# Shortest distance between 2 UAS during their conflict
# 
# Simulation Time [s], UAS1, UAS2, Distance [m]
# simt
271.00000000,BACKGROUND14,BACKGROUND15,8.02621632
318.00000000,BACKGROUND2,BACKGROUND4,24.68328904
319.00000000,BACKGROUND2,BACKGROUND4,25.21164495
328.00000000,BACKGROUND12,BACKGROUND28,0.66626968
334.00000000,BACKGROUND2,BACKGROUND4,34.40061296
616.00000000,BACKGROUND51,BACKGROUND56,19.41737643
670.00000000,BACKGROUND45,BACKGROUND53,10.85606908
685.00000000,BACKGROUND68,BACKGROUND69,9.65637666
1043.00000000,BACKGROUND105,BACKGROUND93,6.06316126
1056.00000000,BACKGROUND92,BACKGROUND97,8.74165612
1140.00000000,BACKGROUND84,BACKGROUND94,0.40954847
1241.00000000,BACKGROUND106,BACKGROUND128,14.37892668
1242.00000000,BACKGROUND106,BACKGROUND128,16.21990969
1280.00000000,BACKGROUND101,BACKGROUND114,34.23924538
1316.00000000,BACKGROUND108,BACKGROUND130,7.62889638
1335.00000000,BACKGROUND119,BACKGROUND130,11.05947123
1342.00000000,BACKGROUND129,BACKGROUND60,25.47132178
1578.00000000,BACKGROUND111,BACKGROUND152,19.78380598
1640.00000000,BACKGROUND152,BACKGROUND167,1.98346581
1753.00000000,BACKGROUND150,BACKGROUND176,22.25302709
