# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
729.00000000,BACKGROUND37,BACKGROUND61,start
731.00000000,BACKGROUND37,BACKGROUND61,end
895.00000000,BACKGROUND21,BACKGROUND49,start
898.00000000,BACKGROUND21,BACKGROUND49,end
902.00000000,BACKGROUND21,BACKGROUND49,start
909.00000000,BACKGROUND21,BACKGROUND49,end
951.00000000,BACKGROUND41,BACKGROUND91,start
959.00000000,BACKGROUND41,BACKGROUND91,end
1211.00000000,BACKGROUND83,BACKGROUND86,start
1213.00000000,BACKGROUND83,BACKGROUND86,end
1320.00000000,BACKGROUND115,BACKGROUND139,start
1323.00000000,BACKGROUND115,BACKGROUND139,end
1325.00000000,BACKGROUND115,BACKGROUND123,start
1329.00000000,BACKGROUND115,BACKGROUND123,end
1339.00000000,BACKGROUND105,BACKGROUND133,start
1341.00000000,BACKGROUND105,BACKGROUND133,end
1374.00000000,BACKGROUND115,BACKGROUND123,start
1380.00000000,BACKGROUND129,BACKGROUND139,start
1383.00000000,BACKGROUND129,BACKGROUND139,end
1393.00000000,BACKGROUND129,BACKGROUND139,start
1407.00000000,BACKGROUND129,BACKGROUND139,end
1410.00000000,BACKGROUND115,BACKGROUND123,end
1421.00000000,BACKGROUND129,BACKGROUND139,start
1424.00000000,BACKGROUND129,BACKGROUND139,end
1437.00000000,BACKGROUND129,BACKGROUND139,start
1439.00000000,BACKGROUND129,BACKGROUND139,end
1454.00000000,BACKGROUND115,BACKGROUND123,start
1471.00000000,BACKGROUND115,BACKGROUND123,end
1509.00000000,BACKGROUND123,BACKGROUND139,start
1514.00000000,BACKGROUND123,BACKGROUND139,end
1751.00000000,BACKGROUND129,BACKGROUND146,start
1754.00000000,BACKGROUND129,BACKGROUND146,end
