# LOSS OF SEPARATION LOG
# Start and end of all loss of separation
# 
# Simulation Time [s], UAS1, UAS2, Start/End
# simt
332.00000000,BACKGROUND2,BACKGROUND36,start
333.00000000,BACKGROUND2,BACKGROUND36,end
389.00000000,BACKGROUND27,BACKGROUND35,start
390.00000000,BACKGROUND27,BACKGROUND35,end
475.00000000,BACKGROUND29,BACKGROUND37,start
476.00000000,BACKGROUND29,BACKGROUND37,end
479.00000000,BACKGROUND21,BACKGROUND34,start
481.00000000,BACKGROUND21,BACKGROUND34,end
539.00000000,BACKGROUND10,BACKGROUND57,start
541.00000000,BACKGROUND10,BACKGROUND57,end
669.00000000,BACKGROUND66,BACKGROUND70,start
670.00000000,BACKGROUND66,BACKGROUND70,end
688.00000000,BACKGROUND68,BACKGROUND69,start
689.00000000,BACKGROUND68,BACKGROUND69,end
727.00000000,BACKGROUND53,BACKGROUND63,start
728.00000000,BACKGROUND53,BACKGROUND63,end
814.00000000,BACKGROUND73,BACKGROUND86,start
815.00000000,BACKGROUND73,BACKGROUND86,end
823.00000000,BACKGROUND63,BACKGROUND67,start
850.00000000,BACKGROUND63,BACKGROUND67,end
865.00000000,BACKGROUND72,BACKGROUND91,start
867.00000000,BACKGROUND72,BACKGROUND91,end
881.00000000,BACKGROUND72,BACKGROUND94,start
882.00000000,BACKGROUND72,BACKGROUND94,end
930.00000000,BACKGROUND75,BACKGROUND88,start
953.00000000,BACKGROUND75,BACKGROUND88,end
983.00000000,BACKGROUND81,BACKGROUND97,start
985.00000000,BACKGROUND81,BACKGROUND97,end
1166.00000000,BACKGROUND106,BACKGROUND119,start
1167.00000000,BACKGROUND106,BACKGROUND119,end
1235.00000000,BACKGROUND125,BACKGROUND74,start
1237.00000000,BACKGROUND125,BACKGROUND74,end
1271.00000000,BACKGROUND116,BACKGROUND127,start
1273.00000000,BACKGROUND116,BACKGROUND127,end
1307.00000000,BACKGROUND126,BACKGROUND140,start
1309.00000000,BACKGROUND126,BACKGROUND140,end
1362.00000000,BACKGROUND125,BACKGROUND132,start
1368.00000000,BACKGROUND125,BACKGROUND132,end
1534.00000000,BACKGROUND126,BACKGROUND165,start
1536.00000000,BACKGROUND126,BACKGROUND165,end
1708.00000000,BACKGROUND157,BACKGROUND166,start
1709.00000000,BACKGROUND157,BACKGROUND166,end
