;origin;destination;departure;drone
0;(9.737156280632169, 52.39437777698964);(9.677488473494854, 52.32859244097638);00:00:01.15;W178
1;(9.753033336978177, 52.37243412726987);(9.680635848494116, 52.37410943358341);00:00:02.31;Amzn
2;(9.702073305937654, 52.391873200386065);(9.719332746150355, 52.329977781323315);00:00:03.47;Amzn
3;(9.705744700635858, 52.3119187036991);(9.686532942940687, 52.419030224858496);00:00:04.62;Amzn
4;(9.659005899921336, 52.345103195193005);(9.729176785718535, 52.41326796105709);00:00:05.78;Amzn
5;(9.68785243132418, 52.34337706881036);(9.660761707558141, 52.301396907023964);00:00:06.94;Amzn
6;(9.779031690870827, 52.43383568792261);(9.789838016464472, 52.30995691593653);00:00:08.10;M600
7;(9.690511734638173, 52.349003470648064);(9.829826534761336, 52.379326596745685);00:00:09.25;W178
8;(9.759335997028902, 52.312680857429456);(9.800721541332994, 52.38764310098607);00:00:10.41;M600
9;(9.751988622206246, 52.41014338340887);(9.824459005546181, 52.33451821063281);00:00:11.57;M600
10;(9.842287031122897, 52.38469407298504);(9.82778434238477, 52.39217400153176);00:00:12.72;M600
11;(9.778139431993571, 52.36147616349174);(9.711100889418171, 52.36287051364709);00:00:13.88;M600
12;(9.692917500109921, 52.33456783599081);(9.834200529412652, 52.345511730491864);00:00:15.04;W178
13;(9.692705517468458, 52.36352752458855);(9.705942905447772, 52.38103880003541);00:00:16.20;M600
14;(9.764847882733623, 52.33450529600967);(9.649924876383546, 52.33708099060058);00:00:17.35;Amzn
15;(9.835593610768152, 52.35841109438659);(9.78790880124808, 52.3115289618452);00:00:18.51;M600
16;(9.770005606190223, 52.42875784179643);(9.697287610755884, 52.38423637761638);00:00:19.67;M600
17;(9.768598909139016, 52.32187243795846);(9.718012484649059, 52.40495241954084);00:00:20.82;Amzn
18;(9.793324354877205, 52.42170848934757);(9.729456809313904, 52.37493651879421);00:00:21.98;Amzn
19;(9.652309108949098, 52.389984626391524);(9.811374494610037, 52.36319636857269);00:00:23.14;Amzn
20;(9.801024096314332, 52.43735031806792);(9.742579343745204, 52.43373380400874);00:00:24.30;M600
21;(9.677654943748854, 52.413814994028506);(9.696835974297832, 52.30426262685497);00:00:25.45;M600
22;(9.654073007387423, 52.39424966829547);(9.66468130773992, 52.37368121529007);00:00:26.61;M600
23;(9.707126035236307, 52.419658612574004);(9.778773406067995, 52.32445718697928);00:00:27.77;M600
24;(9.700440920789168, 52.318942951605656);(9.766779998782994, 52.413300792106824);00:00:28.93;M600
25;(9.807769236058894, 52.368723620789005);(9.700591457059936, 52.3930428528998);00:00:30.08;M600
26;(9.81674610981984, 52.33078686450614);(9.757265493132994, 52.43044688085711);00:00:31.24;Amzn
27;(9.644912260881119, 52.353371282838786);(9.746988301807942, 52.41351474121418);00:00:32.40;M600
28;(9.668381207851477, 52.39472722116898);(9.8113846047065, 52.40745852076739);00:00:33.55;M600
29;(9.839176442844884, 52.34374216964976);(9.694509604685532, 52.43585172690891);00:00:34.71;W178
30;(9.696056313108883, 52.40018156072786);(9.683872482279837, 52.39541915642392);00:00:35.87;Amzn
31;(9.738857384881964, 52.352154153449774);(9.770923853867723, 52.32662784937678);00:00:37.03;M600
32;(9.83972941834933, 52.3026283722433);(9.68360239862455, 52.34954440280613);00:00:38.18;M600
33;(9.69016401722536, 52.34625955367725);(9.729839152626244, 52.38535202908522);00:00:39.34;M600
34;(9.71607602487101, 52.33212498619908);(9.698452618553867, 52.42314540814645);00:00:40.50;Amzn
35;(9.769471607536639, 52.37154672466615);(9.705580623216102, 52.37623096919803);00:00:41.65;M600
36;(9.715136508235378, 52.31502959606528);(9.775574450761559, 52.32655427970083);00:00:42.81;Amzn
37;(9.761887250427248, 52.36705811039337);(9.645898484440426, 52.31050963190199);00:00:43.97;Amzn
38;(9.71679469539086, 52.306152717641936);(9.808581063177808, 52.331840318700934);00:00:45.13;M600
39;(9.685332014666237, 52.3510510779209);(9.742850741162355, 52.36896870386032);00:00:46.28;M600
40;(9.749902839881956, 52.34829435930681);(9.737654958128804, 52.313995310716905);00:00:47.44;M600
41;(9.71771122047389, 52.36959812346437);(9.829124412242036, 52.34722625420816);00:00:48.60;Amzn
42;(9.738453940594352, 52.370751725767);(9.679821923282681, 52.382715963309586);00:00:49.76;M600
43;(9.73252209272579, 52.39921039389068);(9.746405124767213, 52.42972816409401);00:00:50.91;W178
44;(9.817050281640256, 52.40105210881034);(9.752307415477771, 52.35789308398258);00:00:52.07;M600
45;(9.741150822702481, 52.33575459332223);(9.732689350806908, 52.327067952728804);00:00:53.23;M600
46;(9.70967280332491, 52.38500637577747);(9.709509000681201, 52.421893497033416);00:00:54.38;W178
47;(9.843121862252639, 52.38725765110755);(9.675130539702367, 52.32701802492021);00:00:55.54;Amzn
48;(9.751967429069063, 52.34623535649881);(9.683410849769999, 52.318485880205316);00:00:56.70;Amzn
49;(9.829081956771656, 52.398850150866);(9.651725581289865, 52.40373414794494);00:00:57.86;M600
50;(9.74843070474459, 52.40024584933349);(9.832570518488104, 52.3302158709359);00:00:59.01;Amzn
51;(9.747536169511486, 52.39098025826475);(9.679160965227315, 52.34331358972199);00:01:00.17;W178
52;(9.837975248799424, 52.39182514512774);(9.709924073930425, 52.34755431847144);00:01:01.33;M600
