,origin_lat,origin_lon,origin_alt,destination_lat,destination_lon,destination_alt,departure,departure_s,drone,purpose
0,52.4216,9.6704,50,52.3594,9.7499,25,00:00:00,0,M600,delivery
1,52.4216,9.6704,50,52.3594,9.7499,25,00:05:00,300,M600,delivery
2,52.4216,9.6704,50,52.3594,9.7499,25,00:10:00,600,M600,delivery
3,52.4216,9.6704,50,52.3594,9.7499,25,00:15:00,900,M600,delivery
4,52.4216,9.6704,50,52.3594,9.7499,25,00:20:00,1200,M600,delivery
5,52.4216,9.6704,50,52.3594,9.7499,25,00:25:00,1500,M600,delivery
6,52.4216,9.6704,50,52.3594,9.7499,25,00:30:00,1800,M600,delivery
7,52.4216,9.6704,50,52.3594,9.7499,25,00:35:00,2100,M600,delivery
8,52.4216,9.6704,50,52.3594,9.7499,25,00:40:00,2400,M600,delivery
9,52.4216,9.6704,50,52.3594,9.7499,25,00:45:00,2700,M600,delivery
10,52.4216,9.6704,50,52.3594,9.7499,25,00:50:00,3000,M600,delivery
11,52.4216,9.6704,50,52.3594,9.7499,25,00:55:00,3300,M600,delivery
12,52.4216,9.6704,50,52.3594,9.7499,25,01:00:00,3600,M600,delivery
13,52.4216,9.6704,50,52.3594,9.7499,25,01:05:00,3900,M600,delivery
14,52.4216,9.6704,50,52.3594,9.7499,25,01:10:00,4200,M600,delivery
15,52.4216,9.6704,50,52.3594,9.7499,25,01:15:00,4500,M600,delivery
16,52.4216,9.6704,50,52.3594,9.7499,25,01:20:00,4800,M600,delivery
17,52.4216,9.6704,50,52.3594,9.7499,25,01:25:00,5100,M600,delivery
18,52.4216,9.6704,50,52.3594,9.7499,25,01:30:00,5400,M600,delivery
19,52.4216,9.6704,50,52.3594,9.7499,25,01:35:00,5700,M600,delivery
20,52.4216,9.6704,50,52.3594,9.7499,25,01:40:00,6000,M600,delivery
21,52.4216,9.6704,50,52.3594,9.7499,25,01:45:00,6300,M600,delivery
22,52.4216,9.6704,50,52.3594,9.7499,25,01:50:00,6600,M600,delivery
23,52.4216,9.6704,50,52.3594,9.7499,25,01:55:00,6900,M600,delivery
24,52.3145,9.8171,50,52.3594,9.7499,25,00:00:00,0,M600,delivery
25,52.3145,9.8171,50,52.3594,9.7499,25,00:05:00,300,M600,delivery
26,52.3145,9.8171,50,52.3594,9.7499,25,00:10:00,600,M600,delivery
27,52.3145,9.8171,50,52.3594,9.7499,25,00:15:00,900,M600,delivery
28,52.3145,9.8171,50,52.3594,9.7499,25,00:20:00,1200,M600,delivery
29,52.3145,9.8171,50,52.3594,9.7499,25,00:25:00,1500,M600,delivery
30,52.3145,9.8171,50,52.3594,9.7499,25,00:30:00,1800,M600,delivery
31,52.3145,9.8171,50,52.3594,9.7499,25,00:35:00,2100,M600,delivery
32,52.3145,9.8171,50,52.3594,9.7499,25,00:40:00,2400,M600,delivery
33,52.3145,9.8171,50,52.3594,9.7499,25,00:45:00,2700,M600,delivery
34,52.3145,9.8171,50,52.3594,9.7499,25,00:50:00,3000,M600,delivery
35,52.3145,9.8171,50,52.3594,9.7499,25,00:55:00,3300,M600,delivery
36,52.3145,9.8171,50,52.3594,9.7499,25,01:00:00,3600,M600,delivery
37,52.3145,9.8171,50,52.3594,9.7499,25,01:05:00,3900,M600,delivery
38,52.3145,9.8171,50,52.3594,9.7499,25,01:10:00,4200,M600,delivery
39,52.3145,9.8171,50,52.3594,9.7499,25,01:15:00,4500,M600,delivery
40,52.3145,9.8171,50,52.3594,9.7499,25,01:20:00,4800,M600,delivery
41,52.3145,9.8171,50,52.3594,9.7499,25,01:25:00,5100,M600,delivery
42,52.3145,9.8171,50,52.3594,9.7499,25,01:30:00,5400,M600,delivery
43,52.3145,9.8171,50,52.3594,9.7499,25,01:35:00,5700,M600,delivery
44,52.3145,9.8171,50,52.3594,9.7499,25,01:40:00,6000,M600,delivery
45,52.3145,9.8171,50,52.3594,9.7499,25,01:45:00,6300,M600,delivery
46,52.3145,9.8171,50,52.3594,9.7499,25,01:50:00,6600,M600,delivery
47,52.3145,9.8171,50,52.3594,9.7499,25,01:55:00,6900,M600,delivery
48,52.3701,9.7422,50,52.3594,9.7499,25,00:00:00,0,M600,delivery
49,52.3701,9.7422,50,52.3594,9.7499,25,00:05:00,300,M600,delivery
50,52.3701,9.7422,50,52.3594,9.7499,25,00:10:00,600,M600,delivery
51,52.3701,9.7422,50,52.3594,9.7499,25,00:15:00,900,M600,delivery
52,52.3701,9.7422,50,52.3594,9.7499,25,00:20:00,1200,M600,delivery
53,52.3701,9.7422,50,52.3594,9.7499,25,00:25:00,1500,M600,delivery
54,52.3701,9.7422,50,52.3594,9.7499,25,00:30:00,1800,M600,delivery
55,52.3701,9.7422,50,52.3594,9.7499,25,00:35:00,2100,M600,delivery
56,52.3701,9.7422,50,52.3594,9.7499,25,00:40:00,2400,M600,delivery
57,52.3701,9.7422,50,52.3594,9.7499,25,00:45:00,2700,M600,delivery
58,52.3701,9.7422,50,52.3594,9.7499,25,00:50:00,3000,M600,delivery
59,52.3701,9.7422,50,52.3594,9.7499,25,00:55:00,3300,M600,delivery
60,52.3701,9.7422,50,52.3594,9.7499,25,01:00:00,3600,M600,delivery
61,52.3701,9.7422,50,52.3594,9.7499,25,01:05:00,3900,M600,delivery
62,52.3701,9.7422,50,52.3594,9.7499,25,01:10:00,4200,M600,delivery
63,52.3701,9.7422,50,52.3594,9.7499,25,01:15:00,4500,M600,delivery
64,52.3701,9.7422,50,52.3594,9.7499,25,01:20:00,4800,M600,delivery
65,52.3701,9.7422,50,52.3594,9.7499,25,01:25:00,5100,M600,delivery
66,52.3701,9.7422,50,52.3594,9.7499,25,01:30:00,5400,M600,delivery
67,52.3701,9.7422,50,52.3594,9.7499,25,01:35:00,5700,M600,delivery
68,52.3701,9.7422,50,52.3594,9.7499,25,01:40:00,6000,M600,delivery
69,52.3701,9.7422,50,52.3594,9.7499,25,01:45:00,6300,M600,delivery
70,52.3701,9.7422,50,52.3594,9.7499,25,01:50:00,6600,M600,delivery
71,52.3701,9.7422,50,52.3594,9.7499,25,01:55:00,6900,M600,delivery
